INSERT INTO locationTypeSales VALUES('FDA15', 'OUT049', 'Tier 1', 3735.138);
INSERT INTO locationTypeSales VALUES('FDZ49', 'OUT035', 'Tier 2', 4187.2162);
INSERT INTO locationTypeSales VALUES('NCJ17', 'OUT010', 'Tier 3', 170.4448);
INSERT INTO locationTypeSales VALUES('FDB17', 'OUT017', 'Tier 2', 3078.6592);
INSERT INTO locationTypeSales VALUES('FDP48', 'OUT018', 'Tier 3', 4394.28);
INSERT INTO locationTypeSales VALUES('FDI53', 'OUT049', 'Tier 1', 2577.9776);
INSERT INTO locationTypeSales VALUES('FDW02', 'OUT013', 'Tier 3', 2628.5784);
INSERT INTO locationTypeSales VALUES('FDL20', 'OUT019', 'Tier 1', 222.3772);
INSERT INTO locationTypeSales VALUES('FDV32', 'OUT018', 'Tier 3', 1707.777);
INSERT INTO locationTypeSales VALUES('FDG38', 'OUT017', 'Tier 2', 1278.336);
INSERT INTO locationTypeSales VALUES('NCB31', 'OUT027', 'Tier 3', 5522.811);
INSERT INTO locationTypeSales VALUES('FDF52', 'OUT017', 'Tier 2', 4013.4424);
INSERT INTO locationTypeSales VALUES('FDB15', 'OUT049', 'Tier 1', 7646.0472);
INSERT INTO locationTypeSales VALUES('FDO48', 'OUT018', 'Tier 3', 1768.3648);
INSERT INTO locationTypeSales VALUES('NCR53', 'OUT018', 'Tier 3', 5626.01);
INSERT INTO locationTypeSales VALUES('FDF56', 'OUT013', 'Tier 3', 3078.6592);
INSERT INTO locationTypeSales VALUES('FDL57', 'OUT018', 'Tier 3', 3874.956);
INSERT INTO locationTypeSales VALUES('NCC31', 'OUT013', 'Tier 3', 1713.7692);
INSERT INTO locationTypeSales VALUES('FDE33', 'OUT049', 'Tier 1', 1492.7236);
INSERT INTO locationTypeSales VALUES('FDV52', 'OUT017', 'Tier 2', 4006.7844);
INSERT INTO locationTypeSales VALUES('FDR46', 'OUT027', 'Tier 3', 3368.948);
INSERT INTO locationTypeSales VALUES('DRE12', 'OUT046', 'Tier 1', 1245.046);
INSERT INTO locationTypeSales VALUES('FDD57', 'OUT010', 'Tier 3', 95.2094);
INSERT INTO locationTypeSales VALUES('NCS41', 'OUT049', 'Tier 1', 2388.8904);
INSERT INTO locationTypeSales VALUES('NCY41', 'OUT017', 'Tier 2', 575.2512);
INSERT INTO locationTypeSales VALUES('FDV22', 'OUT017', 'Tier 2', 3755.112);
INSERT INTO locationTypeSales VALUES('FDF12', 'OUT045', 'Tier 2', 1182.4608);
INSERT INTO locationTypeSales VALUES('FDM13', 'OUT013', 'Tier 3', 262.3252);
INSERT INTO locationTypeSales VALUES('FDQ56', 'OUT046', 'Tier 1', 1342.2528);
INSERT INTO locationTypeSales VALUES('FDW55', 'OUT027', 'Tier 3', 5478.2024);
INSERT INTO locationTypeSales VALUES('NCT29', 'OUT027', 'Tier 3', 4629.9732);
INSERT INTO locationTypeSales VALUES('NCX42', 'OUT017', 'Tier 2', 1644.526);
INSERT INTO locationTypeSales VALUES('FDR24', 'OUT017', 'Tier 2', 1258.362);
INSERT INTO locationTypeSales VALUES('NCS42', 'OUT017', 'Tier 2', 729.7168);
INSERT INTO locationTypeSales VALUES('FDL40', 'OUT018', 'Tier 3', 2220.443);
INSERT INTO locationTypeSales VALUES('FDD47', 'OUT046', 'Tier 1', 3749.7856);
INSERT INTO locationTypeSales VALUES('DRE03', 'OUT046', 'Tier 1', 236.359);
INSERT INTO locationTypeSales VALUES('NCM18', 'OUT027', 'Tier 3', 2043.3402);
INSERT INTO locationTypeSales VALUES('FDF52', 'OUT045', 'Tier 2', 1641.8628);
INSERT INTO locationTypeSales VALUES('NCG43', 'OUT045', 'Tier 2', 1943.4702);
INSERT INTO locationTypeSales VALUES('FDE20', 'OUT046', 'Tier 1', 4923.591);
INSERT INTO locationTypeSales VALUES('FDI33', 'OUT017', 'Tier 2', 2554.0088);
INSERT INTO locationTypeSales VALUES('NCT06', 'OUT013', 'Tier 3', 2320.9788);
INSERT INTO locationTypeSales VALUES('FDY24', 'OUT035', 'Tier 2', 808.947);
INSERT INTO locationTypeSales VALUES('FDZ33', 'OUT017', 'Tier 2', 1330.2684);
INSERT INTO locationTypeSales VALUES('FDJ55', 'OUT018', 'Tier 3', 2475.4444);
INSERT INTO locationTypeSales VALUES('FDE45', 'OUT019', 'Tier 1', 716.4008);
INSERT INTO locationTypeSales VALUES('FDD44', 'OUT018', 'Tier 3', 3091.9752);
INSERT INTO locationTypeSales VALUES('FDD10', 'OUT018', 'Tier 3', 1605.9096);
INSERT INTO locationTypeSales VALUES('FDA39', 'OUT018', 'Tier 3', 78.5644);
INSERT INTO locationTypeSales VALUES('FDB36', 'OUT013', 'Tier 3', 3410.2276);
INSERT INTO locationTypeSales VALUES('FDK52', 'OUT010', 'Tier 3', 677.1186);
INSERT INTO locationTypeSales VALUES('FDJ36', 'OUT049', 'Tier 1', 2050.664);
INSERT INTO locationTypeSales VALUES('NCB55', 'OUT018', 'Tier 3', 829.5868);
INSERT INTO locationTypeSales VALUES('NCK18', 'OUT010', 'Tier 3', 660.4736);
INSERT INTO locationTypeSales VALUES('FDX27', 'OUT049', 'Tier 1', 1229.0668);
INSERT INTO locationTypeSales VALUES('FDB08', 'OUT046', 'Tier 1', 2727.7826);
INSERT INTO locationTypeSales VALUES('FDX43', 'OUT046', 'Tier 1', 2330.3);
INSERT INTO locationTypeSales VALUES('FDA20', 'OUT018', 'Tier 3', 1304.968);
INSERT INTO locationTypeSales VALUES('FDC04', 'OUT019', 'Tier 1', 483.3708);
INSERT INTO locationTypeSales VALUES('FDG17', 'OUT017', 'Tier 2', 4153.9262);
INSERT INTO locationTypeSales VALUES('FDU58', 'OUT010', 'Tier 3', 187.0898);
INSERT INTO locationTypeSales VALUES('FDP24', 'OUT027', 'Tier 3', 3877.6192);
INSERT INTO locationTypeSales VALUES('NCT29', 'OUT045', 'Tier 2', 1462.0968);
INSERT INTO locationTypeSales VALUES('FDB08', 'OUT018', 'Tier 3', 1765.0358);
INSERT INTO locationTypeSales VALUES('NCB43', 'OUT045', 'Tier 2', 3554.7062);
INSERT INTO locationTypeSales VALUES('FDL09', 'OUT019', 'Tier 1', 167.7816);
INSERT INTO locationTypeSales VALUES('DRK49', 'OUT046', 'Tier 1', 446.7518);
INSERT INTO locationTypeSales VALUES('FDR37', 'OUT013', 'Tier 3', 3101.2964);
INSERT INTO locationTypeSales VALUES('FDG56', 'OUT035', 'Tier 2', 1898.8616);
INSERT INTO locationTypeSales VALUES('FDE34', 'OUT049', 'Tier 1', 6179.9556);
INSERT INTO locationTypeSales VALUES('FDE16', 'OUT027', 'Tier 3', 6668.6528);
INSERT INTO locationTypeSales VALUES('FDT58', 'OUT035', 'Tier 2', 1342.2528);
INSERT INTO locationTypeSales VALUES('FDR03', 'OUT035', 'Tier 2', 3095.97);
INSERT INTO locationTypeSales VALUES('NCL30', 'OUT049', 'Tier 1', 2173.1712);
INSERT INTO locationTypeSales VALUES('FDT22', 'OUT027', 'Tier 3', 1677.816);
INSERT INTO locationTypeSales VALUES('FDP45', 'OUT049', 'Tier 1', 5285.1204);
INSERT INTO locationTypeSales VALUES('FDS15', 'OUT013', 'Tier 3', 2804.3496);
INSERT INTO locationTypeSales VALUES('FDF16', 'OUT027', 'Tier 3', 1773.6912);
INSERT INTO locationTypeSales VALUES('FDL13', 'OUT045', 'Tier 2', 4660.6);
INSERT INTO locationTypeSales VALUES('NCV30', 'OUT018', 'Tier 3', 126.502);
INSERT INTO locationTypeSales VALUES('FDG33', 'OUT019', 'Tier 1', 171.7764);
INSERT INTO locationTypeSales VALUES('FDO10', 'OUT046', 'Tier 1', 1603.2464);
INSERT INTO locationTypeSales VALUES('FDQ03', 'OUT013', 'Tier 3', 2133.2232);
INSERT INTO locationTypeSales VALUES('NCC55', 'OUT018', 'Tier 3', 372.848);
INSERT INTO locationTypeSales VALUES('FDD52', 'OUT027', 'Tier 3', 1867.569);
INSERT INTO locationTypeSales VALUES('FDI16', 'OUT018', 'Tier 3', 319.584);
INSERT INTO locationTypeSales VALUES('FDB44', 'OUT046', 'Tier 1', 4221.172);
INSERT INTO locationTypeSales VALUES('FDA25', 'OUT046', 'Tier 1', 1031.99);
INSERT INTO locationTypeSales VALUES('FDV33', 'OUT046', 'Tier 1', 1808.3128);
INSERT INTO locationTypeSales VALUES('FDX47', 'OUT049', 'Tier 1', 1099.9016);
INSERT INTO locationTypeSales VALUES('FDO50', 'OUT017', 'Tier 2', 1102.5648);
INSERT INTO locationTypeSales VALUES('FDV57', 'OUT013', 'Tier 3', 2696.49);
INSERT INTO locationTypeSales VALUES('FDB02', 'OUT035', 'Tier 2', 1235.059);
INSERT INTO locationTypeSales VALUES('FDD16', 'OUT019', 'Tier 1', 74.5696);
INSERT INTO locationTypeSales VALUES('FDX02', 'OUT046', 'Tier 1', 4950.8888);
INSERT INTO locationTypeSales VALUES('FDP11', 'OUT010', 'Tier 3', 435.4332);
INSERT INTO locationTypeSales VALUES('FDH32', 'OUT027', 'Tier 3', 2220.443);
INSERT INTO locationTypeSales VALUES('NCL18', 'OUT049', 'Tier 1', 3110.6176);
INSERT INTO locationTypeSales VALUES('FDT12', 'OUT045', 'Tier 2', 4514.124);
INSERT INTO locationTypeSales VALUES('FDD50', 'OUT027', 'Tier 3', 3889.6036);
INSERT INTO locationTypeSales VALUES('NCU05', 'OUT049', 'Tier 1', 1288.9888);
INSERT INTO locationTypeSales VALUES('FDI56', 'OUT018', 'Tier 3', 1733.0774);
INSERT INTO locationTypeSales VALUES('DRL11', 'OUT049', 'Tier 1', 1893.5352);
INSERT INTO locationTypeSales VALUES('FDQ08', 'OUT045', 'Tier 2', 1225.072);
INSERT INTO locationTypeSales VALUES('FDW20', 'OUT027', 'Tier 3', 2463.46);
INSERT INTO locationTypeSales VALUES('FDW46', 'OUT045', 'Tier 2', 1043.9744);
INSERT INTO locationTypeSales VALUES('FDO09', 'OUT049', 'Tier 1', 6574.775);
INSERT INTO locationTypeSales VALUES('DRJ49', 'OUT018', 'Tier 3', 1679.1476);
INSERT INTO locationTypeSales VALUES('FDP26', 'OUT013', 'Tier 3', 2404.2038);
INSERT INTO locationTypeSales VALUES('FDO19', 'OUT035', 'Tier 2', 972.068);
INSERT INTO locationTypeSales VALUES('NCG43', 'OUT010', 'Tier 3', 277.6386);
INSERT INTO locationTypeSales VALUES('FDG02', 'OUT046', 'Tier 1', 1904.188);
INSERT INTO locationTypeSales VALUES('FDO32', 'OUT035', 'Tier 2', 419.454);
INSERT INTO locationTypeSales VALUES('FDR34', 'OUT046', 'Tier 1', 4809.7392);
INSERT INTO locationTypeSales VALUES('FDU59', 'OUT046', 'Tier 1', 1787.0072);
INSERT INTO locationTypeSales VALUES('FDN31', 'OUT045', 'Tier 2', 2656.542);
INSERT INTO locationTypeSales VALUES('FDT55', 'OUT027', 'Tier 3', 6942.9624);
INSERT INTO locationTypeSales VALUES('FDE08', 'OUT018', 'Tier 3', 2375.5744);
INSERT INTO locationTypeSales VALUES('FDK52', 'OUT013', 'Tier 3', 4288.4178);
INSERT INTO locationTypeSales VALUES('FDW11', 'OUT013', 'Tier 3', 990.7104);
INSERT INTO locationTypeSales VALUES('FDC03', 'OUT049', 'Tier 1', 3511.4292);
INSERT INTO locationTypeSales VALUES('FDR43', 'OUT018', 'Tier 3', 549.285);
INSERT INTO locationTypeSales VALUES('FDL14', 'OUT010', 'Tier 3', 311.5944);
INSERT INTO locationTypeSales VALUES('FDP39', 'OUT045', 'Tier 2', 571.2564);
INSERT INTO locationTypeSales VALUES('FDG29', 'OUT027', 'Tier 3', 419.454);
INSERT INTO locationTypeSales VALUES('DRH15', 'OUT046', 'Tier 1', 1537.998);
INSERT INTO locationTypeSales VALUES('FDT11', 'OUT035', 'Tier 2', 3755.112);
INSERT INTO locationTypeSales VALUES('FDU48', 'OUT035', 'Tier 2', 1581.9408);
INSERT INTO locationTypeSales VALUES('FDY12', 'OUT013', 'Tier 3', 657.8104);
INSERT INTO locationTypeSales VALUES('FDS44', 'OUT017', 'Tier 2', 5528.1374);
INSERT INTO locationTypeSales VALUES('NCP06', 'OUT018', 'Tier 3', 2267.049);
INSERT INTO locationTypeSales VALUES('DRH23', 'OUT013', 'Tier 3', 718.3982);
INSERT INTO locationTypeSales VALUES('FDA16', 'OUT027', 'Tier 3', 7073.4592);
INSERT INTO locationTypeSales VALUES('FDT45', 'OUT018', 'Tier 3', 491.3604);
INSERT INTO locationTypeSales VALUES('FDE56', 'OUT017', 'Tier 2', 1052.6298);
INSERT INTO locationTypeSales VALUES('FDA40', 'OUT017', 'Tier 2', 263.6568);
INSERT INTO locationTypeSales VALUES('FDA39', 'OUT046', 'Tier 1', 628.5152);
INSERT INTO locationTypeSales VALUES('NCB19', 'OUT035', 'Tier 2', 1975.4286);
INSERT INTO locationTypeSales VALUES('FDZ34', 'OUT013', 'Tier 3', 3861.64);
INSERT INTO locationTypeSales VALUES('FDV22', 'OUT045', 'Tier 2', 2816.334);
INSERT INTO locationTypeSales VALUES('FDO40', 'OUT049', 'Tier 1', 3131.9232);
INSERT INTO locationTypeSales VALUES('FDD21', 'OUT013', 'Tier 3', 4122.6336);
INSERT INTO locationTypeSales VALUES('FDO36', 'OUT013', 'Tier 3', 3056.022);
INSERT INTO locationTypeSales VALUES('FDV34', 'OUT049', 'Tier 1', 1478.076);
INSERT INTO locationTypeSales VALUES('NCY18', 'OUT045', 'Tier 2', 2626.581);
INSERT INTO locationTypeSales VALUES('NCM54', 'OUT018', 'Tier 3', 3306.3628);
INSERT INTO locationTypeSales VALUES('FDB59', 'OUT049', 'Tier 1', 793.6336);
INSERT INTO locationTypeSales VALUES('FDS45', 'OUT010', 'Tier 3', 211.7244);
INSERT INTO locationTypeSales VALUES('FDV24', 'OUT049', 'Tier 1', 1198.44);
INSERT INTO locationTypeSales VALUES('FDD46', 'OUT010', 'Tier 3', 153.7998);
INSERT INTO locationTypeSales VALUES('FDQ39', 'OUT018', 'Tier 3', 3057.3536);
INSERT INTO locationTypeSales VALUES('FDD52', 'OUT046', 'Tier 1', 1537.998);
INSERT INTO locationTypeSales VALUES('FDL39', 'OUT018', 'Tier 3', 360.8636);
INSERT INTO locationTypeSales VALUES('FDV02', 'OUT018', 'Tier 3', 513.3318);
INSERT INTO locationTypeSales VALUES('FDE11', 'OUT046', 'Tier 1', 4257.1252);
INSERT INTO locationTypeSales VALUES('NCU54', 'OUT049', 'Tier 1', 7130.718);
INSERT INTO locationTypeSales VALUES('FDR43', 'OUT010', 'Tier 3', 109.857);
INSERT INTO locationTypeSales VALUES('FDD51', 'OUT013', 'Tier 3', 498.0184);
INSERT INTO locationTypeSales VALUES('FDO60', 'OUT017', 'Tier 2', 490.6946);
INSERT INTO locationTypeSales VALUES('NCS06', 'OUT013', 'Tier 3', 5522.811);
INSERT INTO locationTypeSales VALUES('FDX50', 'OUT045', 'Tier 2', 1657.842);
INSERT INTO locationTypeSales VALUES('FDQ55', 'OUT035', 'Tier 2', 3455.502);
INSERT INTO locationTypeSales VALUES('FDL52', 'OUT018', 'Tier 3', 75.9012);
INSERT INTO locationTypeSales VALUES('FDK52', 'OUT045', 'Tier 2', 6771.186);
INSERT INTO locationTypeSales VALUES('NCO02', 'OUT017', 'Tier 2', 988.713);
INSERT INTO locationTypeSales VALUES('NCO30', 'OUT035', 'Tier 2', 918.804);
INSERT INTO locationTypeSales VALUES('FDA33', 'OUT049', 'Tier 1', 3399.5748);
INSERT INTO locationTypeSales VALUES('FDB12', 'OUT013', 'Tier 3', 1142.5128);
INSERT INTO locationTypeSales VALUES('FDT40', 'OUT013', 'Tier 3', 3560.6984);
INSERT INTO locationTypeSales VALUES('NCO05', 'OUT017', 'Tier 2', 2759.0752);
INSERT INTO locationTypeSales VALUES('FDR32', 'OUT049', 'Tier 1', 3653.9104);
INSERT INTO locationTypeSales VALUES('FDM04', 'OUT018', 'Tier 3', 512.666);
INSERT INTO locationTypeSales VALUES('DRL01', 'OUT013', 'Tier 3', 5608.6992);
INSERT INTO locationTypeSales VALUES('FDQ56', 'OUT018', 'Tier 3', 1426.1436);
INSERT INTO locationTypeSales VALUES('FDH08', 'OUT046', 'Tier 1', 6201.927);
INSERT INTO locationTypeSales VALUES('NCQ06', 'OUT019', 'Tier 1', 255.0014);
INSERT INTO locationTypeSales VALUES('FDG16', 'OUT019', 'Tier 1', 1078.596);
INSERT INTO locationTypeSales VALUES('FDZ40', 'OUT027', 'Tier 3', 1024.6662);
INSERT INTO locationTypeSales VALUES('FDY51', 'OUT035', 'Tier 2', 1322.2788);
INSERT INTO locationTypeSales VALUES('NCN41', 'OUT018', 'Tier 3', 1231.73);
INSERT INTO locationTypeSales VALUES('NCM17', 'OUT027', 'Tier 3', 2007.387);
INSERT INTO locationTypeSales VALUES('FDP39', 'OUT017', 'Tier 2', 830.9184);
INSERT INTO locationTypeSales VALUES('FDZ08', 'OUT035', 'Tier 2', 577.9144);
INSERT INTO locationTypeSales VALUES('FDU03', 'OUT018', 'Tier 3', 1277.0044);
INSERT INTO locationTypeSales VALUES('FDZ49', 'OUT046', 'Tier 1', 2203.798);
INSERT INTO locationTypeSales VALUES('NCX30', 'OUT019', 'Tier 1', 495.3552);
INSERT INTO locationTypeSales VALUES('FDV08', 'OUT045', 'Tier 2', 545.2902);
INSERT INTO locationTypeSales VALUES('FDB15', 'OUT013', 'Tier 3', 5536.7928);
INSERT INTO locationTypeSales VALUES('FDY49', 'OUT013', 'Tier 3', 990.7104);
INSERT INTO locationTypeSales VALUES('FDF24', 'OUT017', 'Tier 2', 1474.0812);
INSERT INTO locationTypeSales VALUES('DRK47', 'OUT045', 'Tier 2', 2055.3246);
INSERT INTO locationTypeSales VALUES('DRD37', 'OUT017', 'Tier 2', 792.302);
INSERT INTO locationTypeSales VALUES('FDH40', 'OUT018', 'Tier 3', 649.8208);
INSERT INTO locationTypeSales VALUES('FDL12', 'OUT027', 'Tier 3', 1078.596);
INSERT INTO locationTypeSales VALUES('FDW11', 'OUT027', 'Tier 3', 1114.5492);
INSERT INTO locationTypeSales VALUES('NCE06', 'OUT035', 'Tier 2', 1294.3152);
INSERT INTO locationTypeSales VALUES('FDF32', 'OUT018', 'Tier 3', 1384.1982);
INSERT INTO locationTypeSales VALUES('DRI47', 'OUT035', 'Tier 2', 1869.5664);
INSERT INTO locationTypeSales VALUES('DRA12', 'OUT035', 'Tier 2', 992.7078);
INSERT INTO locationTypeSales VALUES('FDX45', 'OUT013', 'Tier 3', 2972.797);
INSERT INTO locationTypeSales VALUES('FDR35', 'OUT013', 'Tier 3', 2587.9646);
INSERT INTO locationTypeSales VALUES('FDK03', 'OUT010', 'Tier 3', 254.3356);
INSERT INTO locationTypeSales VALUES('NCJ18', 'OUT013', 'Tier 3', 3910.9092);
INSERT INTO locationTypeSales VALUES('FDN48', 'OUT045', 'Tier 2', 2113.2492);
INSERT INTO locationTypeSales VALUES('FDZ59', 'OUT019', 'Tier 1', 665.8);
INSERT INTO locationTypeSales VALUES('FDB57', 'OUT027', 'Tier 3', 7116.0704);
INSERT INTO locationTypeSales VALUES('DRP35', 'OUT019', 'Tier 1', 127.8336);
INSERT INTO locationTypeSales VALUES('FDZ59', 'OUT013', 'Tier 3', 5326.4);
INSERT INTO locationTypeSales VALUES('FDU58', 'OUT018', 'Tier 3', 4677.245);
INSERT INTO locationTypeSales VALUES('FDL09', 'OUT035', 'Tier 2', 1845.5976);
INSERT INTO locationTypeSales VALUES('FDY38', 'OUT017', 'Tier 2', 6524.84);
INSERT INTO locationTypeSales VALUES('FDI46', 'OUT027', 'Tier 3', 3271.7412);
INSERT INTO locationTypeSales VALUES('FDL03', 'OUT017', 'Tier 2', 982.055);
INSERT INTO locationTypeSales VALUES('DRC25', 'OUT019', 'Tier 1', 85.8882);
INSERT INTO locationTypeSales VALUES('FDU60', 'OUT045', 'Tier 2', 6426.3016);
INSERT INTO locationTypeSales VALUES('FDP25', 'OUT027', 'Tier 3', 6769.8544);
INSERT INTO locationTypeSales VALUES('FDO57', 'OUT010', 'Tier 3', 481.3734);
INSERT INTO locationTypeSales VALUES('FDQ09', 'OUT049', 'Tier 1', 3340.3186);
INSERT INTO locationTypeSales VALUES('NCY05', 'OUT027', 'Tier 3', 1058.622);
INSERT INTO locationTypeSales VALUES('FDA20', 'OUT049', 'Tier 1', 1491.392);
INSERT INTO locationTypeSales VALUES('FDF16', 'OUT010', 'Tier 3', 886.8456);
INSERT INTO locationTypeSales VALUES('NCG07', 'OUT013', 'Tier 3', 3795.06);
INSERT INTO locationTypeSales VALUES('FDR46', 'OUT018', 'Tier 3', 2490.092);
INSERT INTO locationTypeSales VALUES('FDP22', 'OUT049', 'Tier 1', 563.9326);
INSERT INTO locationTypeSales VALUES('FDL45', 'OUT035', 'Tier 2', 3129.26);
INSERT INTO locationTypeSales VALUES('NCF42', 'OUT018', 'Tier 3', 1230.3984);
INSERT INTO locationTypeSales VALUES('FDD04', 'OUT049', 'Tier 1', 3261.7542);
INSERT INTO locationTypeSales VALUES('FDC45', 'OUT018', 'Tier 3', 1197.7742);
INSERT INTO locationTypeSales VALUES('FDI40', 'OUT045', 'Tier 2', 2111.2518);
INSERT INTO locationTypeSales VALUES('FDQ11', 'OUT046', 'Tier 1', 2055.9904);
INSERT INTO locationTypeSales VALUES('DRM48', 'OUT046', 'Tier 1', 1193.1136);
INSERT INTO locationTypeSales VALUES('FDS12', 'OUT013', 'Tier 3', 1761.7068);
INSERT INTO locationTypeSales VALUES('FDR46', 'OUT017', 'Tier 2', 2636.568);
INSERT INTO locationTypeSales VALUES('NCO02', 'OUT045', 'Tier 2', 790.9704);
INSERT INTO locationTypeSales VALUES('FDQ52', 'OUT013', 'Tier 3', 2980.1208);
INSERT INTO locationTypeSales VALUES('FDY28', 'OUT017', 'Tier 2', 3419.5488);
INSERT INTO locationTypeSales VALUES('FDE32', 'OUT046', 'Tier 1', 834.9132);
INSERT INTO locationTypeSales VALUES('FDJ58', 'OUT035', 'Tier 2', 3779.0808);
INSERT INTO locationTypeSales VALUES('FDJ27', 'OUT045', 'Tier 2', 814.9392);
INSERT INTO locationTypeSales VALUES('NCM18', 'OUT049', 'Tier 1', 1114.5492);
INSERT INTO locationTypeSales VALUES('FDA02', 'OUT045', 'Tier 2', 866.8716);
INSERT INTO locationTypeSales VALUES('FDT26', 'OUT046', 'Tier 1', 2396.88);
INSERT INTO locationTypeSales VALUES('DRD60', 'OUT035', 'Tier 2', 1999.3974);
INSERT INTO locationTypeSales VALUES('NCR18', 'OUT046', 'Tier 1', 468.7232);
INSERT INTO locationTypeSales VALUES('FDO27', 'OUT046', 'Tier 1', 1342.2528);
INSERT INTO locationTypeSales VALUES('FDP25', 'OUT019', 'Tier 1', 218.3824);
INSERT INTO locationTypeSales VALUES('FDQ51', 'OUT035', 'Tier 2', 614.5334);
INSERT INTO locationTypeSales VALUES('NCH07', 'OUT017', 'Tier 2', 1426.1436);
INSERT INTO locationTypeSales VALUES('FDP44', 'OUT045', 'Tier 2', 1537.998);
INSERT INTO locationTypeSales VALUES('NCP55', 'OUT017', 'Tier 2', 939.4438);
INSERT INTO locationTypeSales VALUES('FDO09', 'OUT013', 'Tier 3', 3418.883);
INSERT INTO locationTypeSales VALUES('FDP38', 'OUT049', 'Tier 1', 404.8064);
INSERT INTO locationTypeSales VALUES('FDI48', 'OUT017', 'Tier 2', 974.0654);
INSERT INTO locationTypeSales VALUES('FDS58', 'OUT045', 'Tier 2', 2406.867);
INSERT INTO locationTypeSales VALUES('FDJ55', 'OUT035', 'Tier 2', 5626.01);
INSERT INTO locationTypeSales VALUES('NCF06', 'OUT049', 'Tier 1', 5956.9126);
INSERT INTO locationTypeSales VALUES('FDF41', 'OUT045', 'Tier 2', 6404.996);
INSERT INTO locationTypeSales VALUES('NCL05', 'OUT019', 'Tier 1', 216.385);
INSERT INTO locationTypeSales VALUES('FDT24', 'OUT049', 'Tier 1', 1158.492);
INSERT INTO locationTypeSales VALUES('FDK08', 'OUT010', 'Tier 3', 202.4032);
INSERT INTO locationTypeSales VALUES('FDU55', 'OUT018', 'Tier 3', 2342.9502);
INSERT INTO locationTypeSales VALUES('NCY18', 'OUT017', 'Tier 2', 2976.7918);
INSERT INTO locationTypeSales VALUES('FDS11', 'OUT046', 'Tier 1', 3131.9232);
INSERT INTO locationTypeSales VALUES('FDC28', 'OUT019', 'Tier 1', 108.5254);
INSERT INTO locationTypeSales VALUES('FDR59', 'OUT046', 'Tier 1', 4448.2098);
INSERT INTO locationTypeSales VALUES('DRE15', 'OUT017', 'Tier 2', 1442.1228);
INSERT INTO locationTypeSales VALUES('FDP19', 'OUT049', 'Tier 1', 2841.6344);
INSERT INTO locationTypeSales VALUES('DRN47', 'OUT049', 'Tier 1', 2876.256);
INSERT INTO locationTypeSales VALUES('FDJ34', 'OUT018', 'Tier 3', 1001.3632);
INSERT INTO locationTypeSales VALUES('FDX21', 'OUT018', 'Tier 3', 982.7208);
INSERT INTO locationTypeSales VALUES('FDI57', 'OUT027', 'Tier 3', 3547.3824);
INSERT INTO locationTypeSales VALUES('NCI42', 'OUT046', 'Tier 1', 3125.931);
INSERT INTO locationTypeSales VALUES('FDL03', 'OUT045', 'Tier 2', 3142.576);
INSERT INTO locationTypeSales VALUES('FDX37', 'OUT013', 'Tier 3', 1398.18);
INSERT INTO locationTypeSales VALUES('FDW57', 'OUT018', 'Tier 3', 4427.57);
INSERT INTO locationTypeSales VALUES('FDX14', 'OUT017', 'Tier 2', 1956.1204);
INSERT INTO locationTypeSales VALUES('FDD09', 'OUT046', 'Tier 1', 3078.6592);
INSERT INTO locationTypeSales VALUES('FDM09', 'OUT046', 'Tier 1', 1018.674);
INSERT INTO locationTypeSales VALUES('NCW54', 'OUT018', 'Tier 3', 687.1056);
INSERT INTO locationTypeSales VALUES('DRL11', 'OUT027', 'Tier 3', 3787.0704);
INSERT INTO locationTypeSales VALUES('FDJ58', 'OUT018', 'Tier 3', 2748.4224);
INSERT INTO locationTypeSales VALUES('FDX21', 'OUT019', 'Tier 1', 109.1912);
INSERT INTO locationTypeSales VALUES('FDA20', 'OUT017', 'Tier 2', 2609.936);
INSERT INTO locationTypeSales VALUES('FDL34', 'OUT035', 'Tier 2', 4516.7872);
INSERT INTO locationTypeSales VALUES('FDL38', 'OUT027', 'Tier 3', 2319.6472);
INSERT INTO locationTypeSales VALUES('DRL11', 'OUT018', 'Tier 3', 3629.2758);
INSERT INTO locationTypeSales VALUES('FDO40', 'OUT018', 'Tier 3', 2087.9488);
INSERT INTO locationTypeSales VALUES('DRZ24', 'OUT045', 'Tier 2', 1557.972);
INSERT INTO locationTypeSales VALUES('FDM52', 'OUT035', 'Tier 2', 2364.9216);
INSERT INTO locationTypeSales VALUES('FDM52', 'OUT017', 'Tier 2', 4138.6128);
INSERT INTO locationTypeSales VALUES('FDV49', 'OUT018', 'Tier 3', 3171.8712);
INSERT INTO locationTypeSales VALUES('FDF47', 'OUT017', 'Tier 2', 2243.746);
INSERT INTO locationTypeSales VALUES('FDF56', 'OUT035', 'Tier 2', 724.3904);
INSERT INTO locationTypeSales VALUES('FDW12', 'OUT010', 'Tier 3', 145.1444);
INSERT INTO locationTypeSales VALUES('FDY09', 'OUT019', 'Tier 1', 175.1054);
INSERT INTO locationTypeSales VALUES('FDY55', 'OUT035', 'Tier 2', 4111.9808);
INSERT INTO locationTypeSales VALUES('FDU36', 'OUT019', 'Tier 1', 492.692);
INSERT INTO locationTypeSales VALUES('NCR06', 'OUT049', 'Tier 1', 1022.6688);
INSERT INTO locationTypeSales VALUES('FDW24', 'OUT046', 'Tier 1', 194.4136);
INSERT INTO locationTypeSales VALUES('FDF16', 'OUT013', 'Tier 3', 2808.3444);
