INSERT INTO outletSizeSales VALUES('FDA15', 'OUT049', 'Medium', 3735.138);
INSERT INTO outletSizeSales VALUES('FDX32', 'OUT035', 'Small', 1733.7432);
INSERT INTO outletSizeSales VALUES('FDK40', 'OUT018', 'Medium', 5785.802);
INSERT INTO outletSizeSales VALUES('FDD04', 'OUT017', 'Medium', 1985.4156);
INSERT INTO outletSizeSales VALUES('FDP28', 'OUT046', 'Small', 4175.8976);
INSERT INTO outletSizeSales VALUES('NCL42', 'OUT013', 'High', 6615.3888);
INSERT INTO outletSizeSales VALUES('DRB13', 'OUT035', 'Small', 569.259);
INSERT INTO outletSizeSales VALUES('FDC33', 'OUT018', 'Medium', 2759.0752);
INSERT INTO outletSizeSales VALUES('FDO58', 'OUT035', 'Small', 2631.2416);
INSERT INTO outletSizeSales VALUES('FDE34', 'OUT010', 'Medium', 363.5268);
INSERT INTO outletSizeSales VALUES('NCE19', 'OUT046', 'Small', 1037.3164);
INSERT INTO outletSizeSales VALUES('NCJ18', 'OUT010', 'Medium', 355.5372);
INSERT INTO outletSizeSales VALUES('FDF52', 'OUT049', 'Medium', 3283.7256);
INSERT INTO outletSizeSales VALUES('FDY04', 'OUT035', 'Small', 1468.089);
INSERT INTO outletSizeSales VALUES('DRF49', 'OUT049', 'Medium', 1138.518);
INSERT INTO outletSizeSales VALUES('FDX27', 'OUT010', 'Medium', 189.0872);
INSERT INTO outletSizeSales VALUES('FDV28', 'OUT013', 'High', 339.558);
INSERT INTO outletSizeSales VALUES('FDE33', 'OUT019', 'Small', 314.2576);
INSERT INTO outletSizeSales VALUES('FDQ37', 'OUT013', 'High', 6006.1818);
INSERT INTO outletSizeSales VALUES('NCG30', 'OUT046', 'Small', 2988.1104);
INSERT INTO outletSizeSales VALUES('NCH29', 'OUT017', 'Medium', 1761.7068);
INSERT INTO outletSizeSales VALUES('FDV20', 'OUT017', 'Medium', 3560.6984);
INSERT INTO outletSizeSales VALUES('FDG57', 'OUT018', 'Medium', 874.8612);
INSERT INTO outletSizeSales VALUES('FDU60', 'OUT035', 'Small', 2874.9244);
INSERT INTO outletSizeSales VALUES('NCH30', 'OUT010', 'Medium', 113.186);
INSERT INTO outletSizeSales VALUES('NCM29', 'OUT010', 'Medium', 262.3252);
INSERT INTO outletSizeSales VALUES('FDB12', 'OUT018', 'Medium', 2181.1608);
INSERT INTO outletSizeSales VALUES('FDD53', 'OUT049', 'Medium', 503.3448);
INSERT INTO outletSizeSales VALUES('FDI44', 'OUT049', 'Medium', 1853.5872);
INSERT INTO outletSizeSales VALUES('FDW56', 'OUT027', 'Medium', 7504.2318);
INSERT INTO outletSizeSales VALUES('FDA01', 'OUT018', 'Medium', 644.4944);
INSERT INTO outletSizeSales VALUES('FDG47', 'OUT013', 'High', 2885.5772);
INSERT INTO outletSizeSales VALUES('FDT40', 'OUT035', 'Small', 1017.3424);
INSERT INTO outletSizeSales VALUES('FDU20', 'OUT035', 'Small', 2530.7058);
INSERT INTO outletSizeSales VALUES('NCP41', 'OUT018', 'Medium', 1617.894);
INSERT INTO outletSizeSales VALUES('FDW36', 'OUT027', 'Medium', 2328.9684);
INSERT INTO outletSizeSales VALUES('FDN31', 'OUT049', 'Medium', 1328.271);
INSERT INTO outletSizeSales VALUES('NCU54', 'OUT010', 'Medium', 209.727);
INSERT INTO outletSizeSales VALUES('FDS01', 'OUT046', 'Small', 1244.3802);
INSERT INTO outletSizeSales VALUES('FDA23', 'OUT017', 'Medium', 1518.024);
INSERT INTO outletSizeSales VALUES('FDY08', 'OUT045', 'Medium', 1685.8056);
INSERT INTO outletSizeSales VALUES('FDJ28', 'OUT046', 'Small', 3078.6592);
INSERT INTO outletSizeSales VALUES('DRF36', 'OUT046', 'Small', 2866.269);
INSERT INTO outletSizeSales VALUES('FDH44', 'OUT010', 'Medium', 294.2836);
INSERT INTO outletSizeSales VALUES('NCY54', 'OUT049', 'Medium', 2069.3064);
INSERT INTO outletSizeSales VALUES('FDR59', 'OUT010', 'Medium', 1046.6376);
INSERT INTO outletSizeSales VALUES('DRA59', 'OUT046', 'Small', 4442.2176);
INSERT INTO outletSizeSales VALUES('FDS55', 'OUT017', 'Medium', 1930.1542);
INSERT INTO outletSizeSales VALUES('FDZ28', 'OUT045', 'Medium', 1780.3492);
INSERT INTO outletSizeSales VALUES('DRG49', 'OUT045', 'Medium', 7086.1094);
INSERT INTO outletSizeSales VALUES('FDH21', 'OUT019', 'Small', 316.9208);
INSERT INTO outletSizeSales VALUES('NCN19', 'OUT013', 'High', 3415.554);
INSERT INTO outletSizeSales VALUES('FDP25', 'OUT045', 'Medium', 5241.1776);
INSERT INTO outletSizeSales VALUES('DRH59', 'OUT046', 'Small', 1025.332);
INSERT INTO outletSizeSales VALUES('FDH09', 'OUT035', 'Small', 473.3838);
INSERT INTO outletSizeSales VALUES('NCK54', 'OUT049', 'Medium', 2912.875);
INSERT INTO outletSizeSales VALUES('FDT21', 'OUT045', 'Medium', 5976.2208);
INSERT INTO outletSizeSales VALUES('FDR12', 'OUT019', 'Small', 687.1056);
INSERT INTO outletSizeSales VALUES('FDS25', 'OUT017', 'Medium', 2984.1156);
INSERT INTO outletSizeSales VALUES('NCL05', 'OUT027', 'Medium', 1255.033);
INSERT INTO outletSizeSales VALUES('NCI30', 'OUT017', 'Medium', 3695.19);
INSERT INTO outletSizeSales VALUES('FDJ26', 'OUT045', 'Medium', 1068.609);
INSERT INTO outletSizeSales VALUES('FDA56', 'OUT049', 'Medium', 1583.9382);
INSERT INTO outletSizeSales VALUES('FDM33', 'OUT018', 'Medium', 661.1394);
INSERT INTO outletSizeSales VALUES('FDP04', 'OUT049', 'Medium', 958.752);
INSERT INTO outletSizeSales VALUES('FDR55', 'OUT045', 'Medium', 2836.308);
INSERT INTO outletSizeSales VALUES('NCZ54', 'OUT027', 'Medium', 5523.4768);
INSERT INTO outletSizeSales VALUES('NCA53', 'OUT049', 'Medium', 972.068);
INSERT INTO outletSizeSales VALUES('FDL20', 'OUT046', 'Small', 3002.0922);
INSERT INTO outletSizeSales VALUES('FDT26', 'OUT035', 'Small', 1198.44);
INSERT INTO outletSizeSales VALUES('NCZ06', 'OUT046', 'Small', 4566.0564);
INSERT INTO outletSizeSales VALUES('FDA04', 'OUT017', 'Medium', 4402.9354);
INSERT INTO outletSizeSales VALUES('FDD29', 'OUT027', 'Medium', 4819.7262);
INSERT INTO outletSizeSales VALUES('FDS56', 'OUT046', 'Small', 6033.4796);
INSERT INTO outletSizeSales VALUES('FDT07', 'OUT013', 'High', 1537.998);
INSERT INTO outletSizeSales VALUES('FDT58', 'OUT018', 'Medium', 2181.1608);
INSERT INTO outletSizeSales VALUES('FDJ10', 'OUT027', 'Medium', 4916.933);
INSERT INTO outletSizeSales VALUES('FDN25', 'OUT035', 'Small', 801.6232);
INSERT INTO outletSizeSales VALUES('DRC27', 'OUT045', 'Medium', 1474.0812);
INSERT INTO outletSizeSales VALUES('FDA38', 'OUT049', 'Medium', 3605.307);
INSERT INTO outletSizeSales VALUES('FDM56', 'OUT013', 'High', 873.5296);
INSERT INTO outletSizeSales VALUES('NCI43', 'OUT013', 'High', 575.2512);
INSERT INTO outletSizeSales VALUES('FDP36', 'OUT017', 'Medium', 860.2136);
INSERT INTO outletSizeSales VALUES('DRK49', 'OUT019', 'Small', 40.6138);
INSERT INTO outletSizeSales VALUES('FDW32', 'OUT019', 'Small', 515.3292);
INSERT INTO outletSizeSales VALUES('NCW18', 'OUT049', 'Medium', 2133.2232);
INSERT INTO outletSizeSales VALUES('FDQ44', 'OUT018', 'Medium', 2181.1608);
INSERT INTO outletSizeSales VALUES('FDL45', 'OUT045', 'Medium', 2253.0672);
INSERT INTO outletSizeSales VALUES('DRB48', 'OUT035', 'Small', 746.3618);
INSERT INTO outletSizeSales VALUES('FDQ34', 'OUT018', 'Medium', 1482.0708);
INSERT INTO outletSizeSales VALUES('FDH17', 'OUT017', 'Medium', 1272.3438);
INSERT INTO outletSizeSales VALUES('FDN08', 'OUT010', 'Medium', 117.8466);
INSERT INTO outletSizeSales VALUES('FDK57', 'OUT027', 'Medium', 4434.228);
INSERT INTO outletSizeSales VALUES('FDK10', 'OUT013', 'High', 719.064);
INSERT INTO outletSizeSales VALUES('FDL39', 'OUT027', 'Medium', 1263.0226);
INSERT INTO outletSizeSales VALUES('FDP25', 'OUT035', 'Small', 6114.7072);
INSERT INTO outletSizeSales VALUES('FDC05', 'OUT035', 'Small', 2167.8448);
INSERT INTO outletSizeSales VALUES('FDA39', 'OUT013', 'High', 942.7728);
INSERT INTO outletSizeSales VALUES('FDZ10', 'OUT013', 'High', 1897.53);
INSERT INTO outletSizeSales VALUES('FDK08', 'OUT027', 'Medium', 2631.2416);
INSERT INTO outletSizeSales VALUES('DRD24', 'OUT013', 'High', 2978.1234);
INSERT INTO outletSizeSales VALUES('DRG48', 'OUT018', 'Medium', 2332.9632);
INSERT INTO outletSizeSales VALUES('FDH52', 'OUT019', 'Small', 123.8388);
INSERT INTO outletSizeSales VALUES('FDS25', 'OUT045', 'Medium', 1989.4104);
INSERT INTO outletSizeSales VALUES('NCH43', 'OUT035', 'Small', 2372.9112);
INSERT INTO outletSizeSales VALUES('DRK01', 'OUT017', 'Medium', 1607.2412);
INSERT INTO outletSizeSales VALUES('FDD59', 'OUT017', 'Medium', 958.752);
INSERT INTO outletSizeSales VALUES('FDB27', 'OUT010', 'Medium', 197.0768);
INSERT INTO outletSizeSales VALUES('FDO22', 'OUT013', 'High', 1198.44);
INSERT INTO outletSizeSales VALUES('FDD35', 'OUT045', 'Medium', 2277.036);
INSERT INTO outletSizeSales VALUES('FDR01', 'OUT035', 'Small', 796.2968);
INSERT INTO outletSizeSales VALUES('NCB31', 'OUT019', 'Small', 525.982);
INSERT INTO outletSizeSales VALUES('FDC35', 'OUT046', 'Small', 3105.957);
INSERT INTO outletSizeSales VALUES('FDS23', 'OUT045', 'Medium', 2826.9868);
INSERT INTO outletSizeSales VALUES('FDC33', 'OUT045', 'Medium', 3153.2288);
INSERT INTO outletSizeSales VALUES('NCF18', 'OUT018', 'Medium', 5369.0112);
INSERT INTO outletSizeSales VALUES('FDM36', 'OUT049', 'Medium', 3448.844);
INSERT INTO outletSizeSales VALUES('FDJ53', 'OUT049', 'Medium', 1446.1176);
INSERT INTO outletSizeSales VALUES('NCL17', 'OUT018', 'Medium', 1567.2932);
INSERT INTO outletSizeSales VALUES('FDW27', 'OUT027', 'Medium', 1396.1826);
INSERT INTO outletSizeSales VALUES('FDA32', 'OUT046', 'Small', 1078.596);
INSERT INTO outletSizeSales VALUES('FDA03', 'OUT010', 'Medium', 291.6204);
INSERT INTO outletSizeSales VALUES('FDW09', 'OUT045', 'Medium', 554.6114);
INSERT INTO outletSizeSales VALUES('FDN09', 'OUT045', 'Medium', 731.0484);
INSERT INTO outletSizeSales VALUES('FDM08', 'OUT017', 'Medium', 4250.4672);
INSERT INTO outletSizeSales VALUES('FDX01', 'OUT018', 'Medium', 1514.695);
INSERT INTO outletSizeSales VALUES('DRO35', 'OUT049', 'Medium', 4054.722);
INSERT INTO outletSizeSales VALUES('FDS31', 'OUT045', 'Medium', 3067.3406);
INSERT INTO outletSizeSales VALUES('NCM53', 'OUT049', 'Medium', 2343.616);
INSERT INTO outletSizeSales VALUES('FDI16', 'OUT013', 'High', 852.224);
INSERT INTO outletSizeSales VALUES('DRF36', 'OUT049', 'Medium', 5350.3688);
INSERT INTO outletSizeSales VALUES('FDW49', 'OUT027', 'Medium', 4119.3046);
INSERT INTO outletSizeSales VALUES('FDB58', 'OUT019', 'Small', 425.4462);
INSERT INTO outletSizeSales VALUES('NCJ18', 'OUT045', 'Medium', 2133.2232);
INSERT INTO outletSizeSales VALUES('FDL51', 'OUT045', 'Medium', 5145.3024);
INSERT INTO outletSizeSales VALUES('FDS03', 'OUT018', 'Medium', 1162.4868);
INSERT INTO outletSizeSales VALUES('NCO54', 'OUT019', 'Small', 165.7842);
INSERT INTO outletSizeSales VALUES('FDA48', 'OUT045', 'Medium', 3547.3824);
INSERT INTO outletSizeSales VALUES('NCK06', 'OUT027', 'Medium', 1211.756);
INSERT INTO outletSizeSales VALUES('NCZ54', 'OUT045', 'Medium', 2274.3728);
INSERT INTO outletSizeSales VALUES('FDW39', 'OUT027', 'Medium', 4763.799);
INSERT INTO outletSizeSales VALUES('FDI09', 'OUT046', 'Small', 5033.448);
INSERT INTO outletSizeSales VALUES('NCO02', 'OUT049', 'Medium', 1120.5414);
INSERT INTO outletSizeSales VALUES('DRF13', 'OUT049', 'Medium', 2612.5992);
INSERT INTO outletSizeSales VALUES('FDK25', 'OUT017', 'Medium', 4548.0798);
INSERT INTO outletSizeSales VALUES('FDZ38', 'OUT017', 'Medium', 5863.0348);
INSERT INTO outletSizeSales VALUES('NCQ42', 'OUT019', 'Small', 254.3356);
INSERT INTO outletSizeSales VALUES('FDM14', 'OUT027', 'Medium', 2713.135);
INSERT INTO outletSizeSales VALUES('FDC20', 'OUT046', 'Small', 447.4176);
INSERT INTO outletSizeSales VALUES('FDW32', 'OUT018', 'Medium', 1631.8758);
INSERT INTO outletSizeSales VALUES('FDQ19', 'OUT045', 'Medium', 5331.7264);
INSERT INTO outletSizeSales VALUES('FDE08', 'OUT049', 'Medium', 3563.3616);
INSERT INTO outletSizeSales VALUES('FDC29', 'OUT049', 'Medium', 1603.2464);
INSERT INTO outletSizeSales VALUES('FDV50', 'OUT013', 'High', 2709.806);
INSERT INTO outletSizeSales VALUES('FDF11', 'OUT017', 'Medium', 4086.0146);
INSERT INTO outletSizeSales VALUES('FDN09', 'OUT018', 'Medium', 1705.7796);
INSERT INTO outletSizeSales VALUES('DRG37', 'OUT045', 'Medium', 1402.1748);
INSERT INTO outletSizeSales VALUES('NCV06', 'OUT027', 'Medium', 7168.6686);
INSERT INTO outletSizeSales VALUES('DRJ13', 'OUT010', 'Medium', 962.7468);
INSERT INTO outletSizeSales VALUES('DRF25', 'OUT027', 'Medium', 1281.665);
INSERT INTO outletSizeSales VALUES('FDE53', 'OUT010', 'Medium', 426.112);
INSERT INTO outletSizeSales VALUES('FDS08', 'OUT046', 'Small', 1764.37);
INSERT INTO outletSizeSales VALUES('FDO23', 'OUT017', 'Medium', 1701.7848);
INSERT INTO outletSizeSales VALUES('FDT07', 'OUT046', 'Small', 4357.661);
INSERT INTO outletSizeSales VALUES('NCX29', 'OUT035', 'Small', 3207.8244);
INSERT INTO outletSizeSales VALUES('FDG22', 'OUT035', 'Small', 732.38);
INSERT INTO outletSizeSales VALUES('DRJ47', 'OUT027', 'Medium', 6751.212);
INSERT INTO outletSizeSales VALUES('FDL43', 'OUT013', 'High', 306.268);
INSERT INTO outletSizeSales VALUES('FDZ43', 'OUT027', 'Medium', 8239.9408);
INSERT INTO outletSizeSales VALUES('FDZ21', 'OUT046', 'Small', 193.082);
INSERT INTO outletSizeSales VALUES('FDJ50', 'OUT035', 'Small', 1209.7586);
INSERT INTO outletSizeSales VALUES('FDV35', 'OUT046', 'Small', 3878.285);
INSERT INTO outletSizeSales VALUES('FDW56', 'OUT017', 'Medium', 2693.8268);
INSERT INTO outletSizeSales VALUES('DRL35', 'OUT045', 'Medium', 649.155);
INSERT INTO outletSizeSales VALUES('FDR01', 'OUT045', 'Medium', 4777.7808);
INSERT INTO outletSizeSales VALUES('FDS24', 'OUT045', 'Medium', 1416.8224);
INSERT INTO outletSizeSales VALUES('NCL17', 'OUT017', 'Medium', 2422.1804);
INSERT INTO outletSizeSales VALUES('FDS13', 'OUT018', 'Medium', 2914.8724);
INSERT INTO outletSizeSales VALUES('FDB59', 'OUT045', 'Medium', 2380.9008);
INSERT INTO outletSizeSales VALUES('FDW26', 'OUT027', 'Medium', 1556.6404);
INSERT INTO outletSizeSales VALUES('FDQ12', 'OUT019', 'Small', 689.103);
INSERT INTO outletSizeSales VALUES('FDX59', 'OUT013', 'High', 373.5138);
INSERT INTO outletSizeSales VALUES('FDL36', 'OUT017', 'Medium', 539.298);
INSERT INTO outletSizeSales VALUES('FDQ55', 'OUT018', 'Medium', 1612.5676);
INSERT INTO outletSizeSales VALUES('FDV46', 'OUT019', 'Small', 559.272);
INSERT INTO outletSizeSales VALUES('FDM28', 'OUT019', 'Small', 179.766);
INSERT INTO outletSizeSales VALUES('FDT40', 'OUT017', 'Medium', 763.0068);
INSERT INTO outletSizeSales VALUES('DRJ11', 'OUT010', 'Medium', 756.3488);
INSERT INTO outletSizeSales VALUES('FDD51', 'OUT045', 'Medium', 181.0976);
INSERT INTO outletSizeSales VALUES('NCT17', 'OUT027', 'Medium', 6029.4848);
INSERT INTO outletSizeSales VALUES('NCW17', 'OUT046', 'Small', 3083.9856);
INSERT INTO outletSizeSales VALUES('NCY29', 'OUT019', 'Small', 113.186);
INSERT INTO outletSizeSales VALUES('DRH36', 'OUT013', 'High', 2087.9488);
INSERT INTO outletSizeSales VALUES('FDB17', 'OUT049', 'Medium', 2535.3664);
INSERT INTO outletSizeSales VALUES('NCA17', 'OUT013', 'High', 1789.6704);
INSERT INTO outletSizeSales VALUES('FDT27', 'OUT046', 'Small', 4687.232);
INSERT INTO outletSizeSales VALUES('FDR32', 'OUT013', 'High', 3425.541);
INSERT INTO outletSizeSales VALUES('FDG41', 'OUT049', 'Medium', 1657.842);
INSERT INTO outletSizeSales VALUES('FDX25', 'OUT046', 'Small', 3101.2964);
INSERT INTO outletSizeSales VALUES('FDG56', 'OUT017', 'Medium', 1347.5792);
INSERT INTO outletSizeSales VALUES('FDN16', 'OUT017', 'Medium', 2270.378);
INSERT INTO outletSizeSales VALUES('FDD47', 'OUT035', 'Small', 2556.672);
INSERT INTO outletSizeSales VALUES('FDR12', 'OUT013', 'High', 3779.0808);
INSERT INTO outletSizeSales VALUES('FDS33', 'OUT049', 'Medium', 1505.3738);
INSERT INTO outletSizeSales VALUES('NCC55', 'OUT035', 'Small', 782.9808);
INSERT INTO outletSizeSales VALUES('FDA38', 'OUT019', 'Small', 480.7076);
INSERT INTO outletSizeSales VALUES('FDK44', 'OUT035', 'Small', 1911.5118);
INSERT INTO outletSizeSales VALUES('FDZ57', 'OUT046', 'Small', 642.497);
INSERT INTO outletSizeSales VALUES('NCN14', 'OUT017', 'Medium', 1470.0864);
INSERT INTO outletSizeSales VALUES('NCB06', 'OUT010', 'Medium', 159.792);
INSERT INTO outletSizeSales VALUES('DRL01', 'OUT049', 'Medium', 6309.7866);
INSERT INTO outletSizeSales VALUES('FDU10', 'OUT049', 'Medium', 633.8416);
INSERT INTO outletSizeSales VALUES('NCS38', 'OUT018', 'Medium', 3091.9752);
INSERT INTO outletSizeSales VALUES('FDQ16', 'OUT013', 'High', 1637.868);
INSERT INTO outletSizeSales VALUES('FDS40', 'OUT017', 'Medium', 805.618);
INSERT INTO outletSizeSales VALUES('FDE36', 'OUT017', 'Medium', 3767.0964);
INSERT INTO outletSizeSales VALUES('FDV31', 'OUT045', 'Medium', 529.311);
INSERT INTO outletSizeSales VALUES('NCD42', 'OUT045', 'Medium', 645.1602);
INSERT INTO outletSizeSales VALUES('FDT20', 'OUT035', 'Small', 849.5608);
INSERT INTO outletSizeSales VALUES('NCN19', 'OUT018', 'Medium', 1328.271);
INSERT INTO outletSizeSales VALUES('FDW21', 'OUT027', 'Medium', 2010.716);
INSERT INTO outletSizeSales VALUES('FDF34', 'OUT045', 'Medium', 4364.9848);
INSERT INTO outletSizeSales VALUES('FDI28', 'OUT045', 'Medium', 792.302);
INSERT INTO outletSizeSales VALUES('FDG44', 'OUT027', 'Medium', 2804.3496);
INSERT INTO outletSizeSales VALUES('DRF60', 'OUT045', 'Medium', 4290.4152);
INSERT INTO outletSizeSales VALUES('FDQ36', 'OUT019', 'Small', 37.2848);
INSERT INTO outletSizeSales VALUES('FDP34', 'OUT018', 'Medium', 2659.871);
INSERT INTO outletSizeSales VALUES('FDA20', 'OUT035', 'Small', 5406.296);
INSERT INTO outletSizeSales VALUES('FDE41', 'OUT035', 'Small', 930.1226);
INSERT INTO outletSizeSales VALUES('DRK47', 'OUT046', 'Small', 1826.9552);
INSERT INTO outletSizeSales VALUES('FDY10', 'OUT017', 'Medium', 1145.176);
INSERT INTO outletSizeSales VALUES('FDI02', 'OUT017', 'Medium', 3150.5656);
INSERT INTO outletSizeSales VALUES('FDE41', 'OUT019', 'Small', 253.6698);
INSERT INTO outletSizeSales VALUES('FDZ52', 'OUT013', 'High', 1779.0176);
INSERT INTO outletSizeSales VALUES('FDG50', 'OUT018', 'Medium', 1185.7898);
INSERT INTO outletSizeSales VALUES('DRL01', 'OUT010', 'Medium', 467.3916);
INSERT INTO outletSizeSales VALUES('FDV48', 'OUT017', 'Medium', 1414.1592);
INSERT INTO outletSizeSales VALUES('FDR48', 'OUT045', 'Medium', 1518.024);
INSERT INTO outletSizeSales VALUES('NCD54', 'OUT013', 'High', 3034.0506);
INSERT INTO outletSizeSales VALUES('NCT54', 'OUT017', 'Medium', 666.4658);
INSERT INTO outletSizeSales VALUES('FDH02', 'OUT013', 'High', 181.0976);
INSERT INTO outletSizeSales VALUES('NCD43', 'OUT013', 'High', 210.3928);
INSERT INTO outletSizeSales VALUES('FDE46', 'OUT035', 'Small', 1662.5026);
INSERT INTO outletSizeSales VALUES('NCO42', 'OUT027', 'Medium', 3791.0652);
INSERT INTO outletSizeSales VALUES('FDR40', 'OUT049', 'Medium', 402.809);
INSERT INTO outletSizeSales VALUES('FDG24', 'OUT049', 'Medium', 749.025);
INSERT INTO outletSizeSales VALUES('NCO17', 'OUT017', 'Medium', 2516.724);
INSERT INTO outletSizeSales VALUES('FDF22', 'OUT046', 'Small', 5556.7668);
INSERT INTO outletSizeSales VALUES('FDC59', 'OUT035', 'Small', 1022.6688);
INSERT INTO outletSizeSales VALUES('NCY18', 'OUT010', 'Medium', 525.3162);
INSERT INTO outletSizeSales VALUES('DRE48', 'OUT045', 'Medium', 1576.6144);
INSERT INTO outletSizeSales VALUES('FDV60', 'OUT010', 'Medium', 392.822);
INSERT INTO outletSizeSales VALUES('FDB56', 'OUT049', 'Medium', 5257.1568);
INSERT INTO outletSizeSales VALUES('FDL20', 'OUT027', 'Medium', 4447.544);
INSERT INTO outletSizeSales VALUES('NCZ53', 'OUT027', 'Medium', 5652.642);
INSERT INTO outletSizeSales VALUES('DRM35', 'OUT035', 'Small', 3033.3848);
INSERT INTO outletSizeSales VALUES('FDV16', 'OUT046', 'Small', 780.9834);
INSERT INTO outletSizeSales VALUES('FDY19', 'OUT013', 'High', 2474.7786);
INSERT INTO outletSizeSales VALUES('FDY12', 'OUT010', 'Medium', 101.2016);
INSERT INTO outletSizeSales VALUES('FDM15', 'OUT017', 'Medium', 3929.5516);
INSERT INTO outletSizeSales VALUES('FDP12', 'OUT049', 'Medium', 564.5984);
INSERT INTO outletSizeSales VALUES('FDT21', 'OUT013', 'High', 1245.046);
INSERT INTO outletSizeSales VALUES('DRE49', 'OUT010', 'Medium', 151.8024);
INSERT INTO outletSizeSales VALUES('FDN16', 'OUT049', 'Medium', 825.592);
INSERT INTO outletSizeSales VALUES('FDE04', 'OUT018', 'Medium', 2696.49);
INSERT INTO outletSizeSales VALUES('FDC51', 'OUT013', 'High', 1231.73);
INSERT INTO outletSizeSales VALUES('FDO04', 'OUT018', 'Medium', 939.4438);
INSERT INTO outletSizeSales VALUES('FDD41', 'OUT017', 'Medium', 2090.612);
INSERT INTO outletSizeSales VALUES('FDI45', 'OUT045', 'Medium', 2801.6864);
INSERT INTO outletSizeSales VALUES('NCB18', 'OUT027', 'Medium', 3364.9532);
INSERT INTO outletSizeSales VALUES('FDW51', 'OUT017', 'Medium', 2343.616);
INSERT INTO outletSizeSales VALUES('NCK07', 'OUT046', 'Small', 1808.9786);
INSERT INTO outletSizeSales VALUES('FDZ45', 'OUT019', 'Small', 992.042);
INSERT INTO outletSizeSales VALUES('FDB37', 'OUT046', 'Small', 5768.4912);
INSERT INTO outletSizeSales VALUES('FDZ60', 'OUT035', 'Small', 970.7364);
INSERT INTO outletSizeSales VALUES('FDN04', 'OUT013', 'High', 3568.688);
INSERT INTO outletSizeSales VALUES('FDW47', 'OUT013', 'High', 3533.4006);
INSERT INTO outletSizeSales VALUES('FDB17', 'OUT013', 'High', 6157.3184);
INSERT INTO outletSizeSales VALUES('FDR56', 'OUT018', 'Medium', 4729.8432);
INSERT INTO outletSizeSales VALUES('FDU55', 'OUT027', 'Medium', 9371.8008);
INSERT INTO outletSizeSales VALUES('FDH40', 'OUT017', 'Medium', 1949.4624);
INSERT INTO outletSizeSales VALUES('FDH05', 'OUT049', 'Medium', 4633.968);
INSERT INTO outletSizeSales VALUES('FDX58', 'OUT045', 'Medium', 4211.185);
INSERT INTO outletSizeSales VALUES('FDC51', 'OUT035', 'Small', 1970.768);
INSERT INTO outletSizeSales VALUES('NCR05', 'OUT017', 'Medium', 3372.9428);
INSERT INTO outletSizeSales VALUES('DRH25', 'OUT017', 'Medium', 934.7832);
INSERT INTO outletSizeSales VALUES('NCR53', 'OUT049', 'Medium', 3375.606);
INSERT INTO outletSizeSales VALUES('FDS04', 'OUT046', 'Small', 2388.2246);
INSERT INTO outletSizeSales VALUES('FDC03', 'OUT013', 'High', 780.3176);
INSERT INTO outletSizeSales VALUES('FDP44', 'OUT010', 'Medium', 102.5332);
INSERT INTO outletSizeSales VALUES('FDK16', 'OUT018', 'Medium', 1713.7692);
INSERT INTO outletSizeSales VALUES('NCC30', 'OUT046', 'Small', 1605.9096);
INSERT INTO outletSizeSales VALUES('FDZ26', 'OUT010', 'Medium', 717.0666);
INSERT INTO outletSizeSales VALUES('NCO54', 'OUT018', 'Medium', 1381.535);
INSERT INTO outletSizeSales VALUES('NCP41', 'OUT010', 'Medium', 215.7192);
INSERT INTO outletSizeSales VALUES('DRE27', 'OUT049', 'Medium', 1076.5986);
INSERT INTO outletSizeSales VALUES('FDQ10', 'OUT013', 'High', 2931.5174);
INSERT INTO outletSizeSales VALUES('NCU42', 'OUT049', 'Medium', 4211.185);
INSERT INTO outletSizeSales VALUES('FDX43', 'OUT035', 'Small', 1830.95);
INSERT INTO outletSizeSales VALUES('NCD19', 'OUT046', 'Small', 939.4438);
INSERT INTO outletSizeSales VALUES('NCI54', 'OUT035', 'Small', 1856.2504);
INSERT INTO outletSizeSales VALUES('FDS37', 'OUT010', 'Medium', 115.8492);
INSERT INTO outletSizeSales VALUES('FDO25', 'OUT027', 'Medium', 4613.994);
INSERT INTO outletSizeSales VALUES('FDS57', 'OUT049', 'Medium', 1431.47);
INSERT INTO outletSizeSales VALUES('FDI52', 'OUT049', 'Medium', 490.0288);
INSERT INTO outletSizeSales VALUES('DRK12', 'OUT018', 'Medium', 366.19);
INSERT INTO outletSizeSales VALUES('FDG40', 'OUT017', 'Medium', 611.2044);
INSERT INTO outletSizeSales VALUES('FDU49', 'OUT045', 'Medium', 2163.85);
INSERT INTO outletSizeSales VALUES('FDR49', 'OUT013', 'High', 575.2512);
INSERT INTO outletSizeSales VALUES('FDF40', 'OUT019', 'Small', 498.0184);
INSERT INTO outletSizeSales VALUES('DRE03', 'OUT017', 'Medium', 661.8052);
INSERT INTO outletSizeSales VALUES('FDR55', 'OUT027', 'Medium', 5294.4416);
INSERT INTO outletSizeSales VALUES('NCU05', 'OUT035', 'Small', 1208.427);
INSERT INTO outletSizeSales VALUES('FDR36', 'OUT017', 'Medium', 838.908);
INSERT INTO outletSizeSales VALUES('NCM30', 'OUT013', 'High', 660.4736);
INSERT INTO outletSizeSales VALUES('FDH24', 'OUT049', 'Medium', 3928.22);
INSERT INTO outletSizeSales VALUES('DRO47', 'OUT018', 'Medium', 452.744);
INSERT INTO outletSizeSales VALUES('FDQ49', 'OUT017', 'Medium', 782.315);
