INSERT INTO typeMrpSales VALUES('FDA15', 'OUT049', 'Dairy', 249.8092);
INSERT INTO typeMrpSales VALUES('NCM53', 'OUT049', 'Health and Hygiene', 104.828);
INSERT INTO typeMrpSales VALUES('FDI16', 'OUT013', 'Frozen Foods', 52.064);
INSERT INTO typeMrpSales VALUES('DRF36', 'OUT049', 'Soft Drinks', 192.8846);
INSERT INTO typeMrpSales VALUES('FDW49', 'OUT027', 'Canned', 179.9002);
INSERT INTO typeMrpSales VALUES('FDB58', 'OUT019', 'Snack Foods', 141.7154);
INSERT INTO typeMrpSales VALUES('NCJ18', 'OUT045', 'Household', 119.8124);
INSERT INTO typeMrpSales VALUES('FDL51', 'OUT045', 'Dairy', 215.0876);
INSERT INTO typeMrpSales VALUES('FDS03', 'OUT018', 'Meat', 62.7826);
INSERT INTO typeMrpSales VALUES('NCO54', 'OUT019', 'Household', 53.6614);
INSERT INTO typeMrpSales VALUES('FDA48', 'OUT045', 'Baking Goods', 222.0114);
INSERT INTO typeMrpSales VALUES('NCK06', 'OUT027', 'Household', 123.1756);
INSERT INTO typeMrpSales VALUES('NCZ54', 'OUT045', 'Household', 162.4552);
INSERT INTO typeMrpSales VALUES('FDW39', 'OUT027', 'Meat', 177.237);
INSERT INTO typeMrpSales VALUES('FDI09', 'OUT046', 'Seafood', 238.188);
INSERT INTO typeMrpSales VALUES('NCO02', 'OUT049', 'Others', 65.0142);
INSERT INTO typeMrpSales VALUES('DRF13', 'OUT049', 'Soft Drinks', 144.3444);
INSERT INTO typeMrpSales VALUES('FDK25', 'OUT017', 'Breakfast', 168.3474);
INSERT INTO typeMrpSales VALUES('FDZ38', 'OUT017', 'Dairy', 173.7422);
INSERT INTO typeMrpSales VALUES('NCQ42', 'OUT019', 'Household', 127.9678);
INSERT INTO typeMrpSales VALUES('FDM14', 'OUT027', 'Canned', 108.9254);
INSERT INTO typeMrpSales VALUES('FDC20', 'OUT046', 'Fruits and Vegetables', 54.0272);
INSERT INTO typeMrpSales VALUES('FDW32', 'OUT018', 'Fruits and Vegetables', 86.2882);
INSERT INTO typeMrpSales VALUES('FDQ19', 'OUT045', 'Fruits and Vegetables', 241.3512);
INSERT INTO typeMrpSales VALUES('FDE08', 'OUT049', 'Fruits and Vegetables', 146.4734);
INSERT INTO typeMrpSales VALUES('FDC29', 'OUT049', 'Frozen Foods', 116.0176);
INSERT INTO typeMrpSales VALUES('FDV50', 'OUT013', 'Dairy', 121.973);
INSERT INTO typeMrpSales VALUES('FDF11', 'OUT017', 'Starchy Foods', 239.8538);
INSERT INTO typeMrpSales VALUES('FDN09', 'OUT018', 'Snack Foods', 245.3828);
INSERT INTO typeMrpSales VALUES('DRG37', 'OUT045', 'Soft Drinks', 153.7972);
INSERT INTO typeMrpSales VALUES('NCV06', 'OUT027', 'Household', 195.2478);
INSERT INTO typeMrpSales VALUES('DRJ13', 'OUT010', 'Soft Drinks', 159.9578);
INSERT INTO typeMrpSales VALUES('DRF25', 'OUT027', 'Soft Drinks', 37.319);
INSERT INTO typeMrpSales VALUES('FDE53', 'OUT010', 'Frozen Foods', 107.228);
INSERT INTO typeMrpSales VALUES('FDS08', 'OUT046', 'Fruits and Vegetables', 176.337);
INSERT INTO typeMrpSales VALUES('FDO23', 'OUT017', 'Breads', 93.7436);
INSERT INTO typeMrpSales VALUES('FDT07', 'OUT046', 'Fruits and Vegetables', 255.433);
INSERT INTO typeMrpSales VALUES('NCX29', 'OUT035', 'Health and Hygiene', 146.9102);
INSERT INTO typeMrpSales VALUES('FDG22', 'OUT035', 'Snack Foods', 38.119);
INSERT INTO typeMrpSales VALUES('DRJ47', 'OUT027', 'Hard Drinks', 173.308);
INSERT INTO typeMrpSales VALUES('FDL43', 'OUT013', 'Meat', 77.567);
INSERT INTO typeMrpSales VALUES('FDZ43', 'OUT027', 'Fruits and Vegetables', 241.2512);
INSERT INTO typeMrpSales VALUES('FDZ21', 'OUT046', 'Snack Foods', 97.241);
INSERT INTO typeMrpSales VALUES('FDJ50', 'OUT035', 'Canned', 53.3982);
INSERT INTO typeMrpSales VALUES('FDV35', 'OUT046', 'Breads', 155.9314);
INSERT INTO typeMrpSales VALUES('FDW56', 'OUT017', 'Fruits and Vegetables', 190.8162);
INSERT INTO typeMrpSales VALUES('DRL35', 'OUT045', 'Hard Drinks', 43.277);
INSERT INTO typeMrpSales VALUES('FDR01', 'OUT045', 'Canned', 199.0742);
INSERT INTO typeMrpSales VALUES('FDS24', 'OUT045', 'Baking Goods', 86.9514);
INSERT INTO typeMrpSales VALUES('NCL17', 'OUT017', 'Health and Hygiene', 140.4812);
INSERT INTO typeMrpSales VALUES('FDS13', 'OUT018', 'Canned', 263.1884);
INSERT INTO typeMrpSales VALUES('FDB59', 'OUT045', 'Snack Foods', 197.6084);
INSERT INTO typeMrpSales VALUES('FDW26', 'OUT027', 'Dairy', 222.3772);
INSERT INTO typeMrpSales VALUES('FDQ12', 'OUT019', 'Baking Goods', 230.001);
INSERT INTO typeMrpSales VALUES('FDX59', 'OUT013', 'Breads', 31.9558);
INSERT INTO typeMrpSales VALUES('FDL36', 'OUT017', 'Baking Goods', 91.583);
INSERT INTO typeMrpSales VALUES('FDQ55', 'OUT018', 'Fruits and Vegetables', 114.8834);
INSERT INTO typeMrpSales VALUES('FDV46', 'OUT019', 'Snack Foods', 141.418);
INSERT INTO typeMrpSales VALUES('FDM28', 'OUT019', 'Frozen Foods', 181.466);
INSERT INTO typeMrpSales VALUES('FDT40', 'OUT017', 'Frozen Foods', 125.2678);
INSERT INTO typeMrpSales VALUES('DRJ11', 'OUT010', 'Hard Drinks', 189.9872);
INSERT INTO typeMrpSales VALUES('FDD51', 'OUT045', 'Dairy', 44.7744);
INSERT INTO typeMrpSales VALUES('NCT17', 'OUT027', 'Health and Hygiene', 188.6214);
INSERT INTO typeMrpSales VALUES('NCW17', 'OUT046', 'Health and Hygiene', 126.8994);
INSERT INTO typeMrpSales VALUES('NCY29', 'OUT019', 'Health and Hygiene', 56.293);
INSERT INTO typeMrpSales VALUES('DRH36', 'OUT013', 'Soft Drinks', 73.4696);
INSERT INTO typeMrpSales VALUES('FDB17', 'OUT049', 'Frozen Foods', 179.7976);
INSERT INTO typeMrpSales VALUES('NCA17', 'OUT013', 'Health and Hygiene', 148.4392);
INSERT INTO typeMrpSales VALUES('FDT27', 'OUT046', 'Meat', 234.6616);
INSERT INTO typeMrpSales VALUES('FDR32', 'OUT013', 'Fruits and Vegetables', 229.5694);
INSERT INTO typeMrpSales VALUES('FDG41', 'OUT049', 'Frozen Foods', 110.7228);
INSERT INTO typeMrpSales VALUES('FDX25', 'OUT046', 'Canned', 184.0292);
INSERT INTO typeMrpSales VALUES('FDG56', 'OUT017', 'Fruits and Vegetables', 63.2536);
INSERT INTO typeMrpSales VALUES('FDN16', 'OUT017', 'Frozen Foods', 102.399);
INSERT INTO typeMrpSales VALUES('FDD47', 'OUT035', 'Starchy Foods', 172.3448);
INSERT INTO typeMrpSales VALUES('FDR12', 'OUT013', 'Baking Goods', 170.5764);
INSERT INTO typeMrpSales VALUES('FDS33', 'OUT049', 'Snack Foods', 90.0514);
INSERT INTO typeMrpSales VALUES('NCC55', 'OUT035', 'Household', 36.7848);
INSERT INTO typeMrpSales VALUES('FDA38', 'OUT019', 'Dairy', 241.1538);
INSERT INTO typeMrpSales VALUES('FDK44', 'OUT035', 'Fruits and Vegetables', 173.5738);
INSERT INTO typeMrpSales VALUES('FDZ57', 'OUT046', 'Snack Foods', 127.2994);
INSERT INTO typeMrpSales VALUES('NCN14', 'OUT017', 'Others', 185.2608);
INSERT INTO typeMrpSales VALUES('NCB06', 'OUT010', 'Health and Hygiene', 161.792);
INSERT INTO typeMrpSales VALUES('DRL01', 'OUT049', 'Soft Drinks', 235.3958);
INSERT INTO typeMrpSales VALUES('FDU10', 'OUT049', 'Snack Foods', 38.4848);
INSERT INTO typeMrpSales VALUES('NCS38', 'OUT018', 'Household', 112.6176);
INSERT INTO typeMrpSales VALUES('FDQ16', 'OUT013', 'Frozen Foods', 109.1912);
INSERT INTO typeMrpSales VALUES('FDS40', 'OUT017', 'Frozen Foods', 37.219);
INSERT INTO typeMrpSales VALUES('FDE36', 'OUT017', 'Baking Goods', 162.6868);
INSERT INTO typeMrpSales VALUES('FDV31', 'OUT045', 'Fruits and Vegetables', 175.337);
INSERT INTO typeMrpSales VALUES('NCD42', 'OUT045', 'Health and Hygiene', 39.3506);
INSERT INTO typeMrpSales VALUES('FDT20', 'OUT035', 'Fruits and Vegetables', 40.1164);
INSERT INTO typeMrpSales VALUES('NCN19', 'OUT018', 'Others', 191.353);
INSERT INTO typeMrpSales VALUES('FDW21', 'OUT027', 'Snack Foods', 98.8358);
INSERT INTO typeMrpSales VALUES('FDF34', 'OUT045', 'Snack Foods', 196.5084);
INSERT INTO typeMrpSales VALUES('FDI28', 'OUT045', 'Frozen Foods', 79.6302);
INSERT INTO typeMrpSales VALUES('FDG44', 'OUT027', 'Fruits and Vegetables', 55.7298);
INSERT INTO typeMrpSales VALUES('DRF60', 'OUT045', 'Soft Drinks', 240.3564);
INSERT INTO typeMrpSales VALUES('FDQ36', 'OUT019', 'Baking Goods', 38.1848);
INSERT INTO typeMrpSales VALUES('FDP34', 'OUT018', 'Snack Foods', 157.763);
INSERT INTO typeMrpSales VALUES('FDA20', 'OUT035', 'Fruits and Vegetables', 184.624);
INSERT INTO typeMrpSales VALUES('FDE41', 'OUT035', 'Frozen Foods', 85.5566);
INSERT INTO typeMrpSales VALUES('DRK47', 'OUT046', 'Hard Drinks', 229.2694);
INSERT INTO typeMrpSales VALUES('FDY10', 'OUT017', 'Snack Foods', 115.4176);
INSERT INTO typeMrpSales VALUES('FDI02', 'OUT017', 'Canned', 112.0202);
INSERT INTO typeMrpSales VALUES('FDE41', 'OUT019', 'Frozen Foods', 83.7566);
INSERT INTO typeMrpSales VALUES('FDZ52', 'OUT013', 'Frozen Foods', 112.7886);
INSERT INTO typeMrpSales VALUES('FDG50', 'OUT018', 'Canned', 92.7146);
INSERT INTO typeMrpSales VALUES('DRL01', 'OUT010', 'Soft Drinks', 233.9958);
INSERT INTO typeMrpSales VALUES('FDV48', 'OUT017', 'Baking Goods', 78.1644);
INSERT INTO typeMrpSales VALUES('FDR48', 'OUT045', 'Baking Goods', 151.1024);
INSERT INTO typeMrpSales VALUES('NCD54', 'OUT013', 'Household', 146.1786);
INSERT INTO typeMrpSales VALUES('NCT54', 'OUT017', 'Household', 93.2094);
INSERT INTO typeMrpSales VALUES('FDH02', 'OUT013', 'Canned', 89.0488);
INSERT INTO typeMrpSales VALUES('NCD43', 'OUT013', 'Household', 105.6964);
INSERT INTO typeMrpSales VALUES('FDE46', 'OUT035', 'Snack Foods', 152.9366);
INSERT INTO typeMrpSales VALUES('NCO42', 'OUT027', 'Household', 144.6102);
INSERT INTO typeMrpSales VALUES('FDR40', 'OUT049', 'Frozen Foods', 78.7618);
INSERT INTO typeMrpSales VALUES('FDG24', 'OUT049', 'Baking Goods', 82.425);
INSERT INTO typeMrpSales VALUES('NCO17', 'OUT017', 'Health and Hygiene', 121.444);
INSERT INTO typeMrpSales VALUES('FDF22', 'OUT046', 'Snack Foods', 214.0218);
INSERT INTO typeMrpSales VALUES('FDC59', 'OUT035', 'Starchy Foods', 65.5168);
INSERT INTO typeMrpSales VALUES('NCY18', 'OUT010', 'Household', 174.9054);
INSERT INTO typeMrpSales VALUES('DRE48', 'OUT045', 'Soft Drinks', 196.2768);
INSERT INTO typeMrpSales VALUES('FDV60', 'OUT010', 'Baking Goods', 194.611);
INSERT INTO typeMrpSales VALUES('FDB56', 'OUT049', 'Fruits and Vegetables', 187.6556);
INSERT INTO typeMrpSales VALUES('FDL20', 'OUT027', 'Fruits and Vegetables', 111.1886);
INSERT INTO typeMrpSales VALUES('NCZ53', 'OUT027', 'Health and Hygiene', 190.4214);
INSERT INTO typeMrpSales VALUES('DRM35', 'OUT035', 'Hard Drinks', 177.5344);
INSERT INTO typeMrpSales VALUES('FDV16', 'OUT046', 'Frozen Foods', 35.2558);
INSERT INTO typeMrpSales VALUES('FDY19', 'OUT013', 'Fruits and Vegetables', 115.8466);
INSERT INTO typeMrpSales VALUES('FDY12', 'OUT010', 'Baking Goods', 50.8008);
INSERT INTO typeMrpSales VALUES('FDM15', 'OUT017', 'Meat', 152.4366);
INSERT INTO typeMrpSales VALUES('FDP12', 'OUT049', 'Baking Goods', 36.8874);
INSERT INTO typeMrpSales VALUES('FDT21', 'OUT013', 'Snack Foods', 248.0092);
INSERT INTO typeMrpSales VALUES('DRE49', 'OUT010', 'Soft Drinks', 151.8024);
INSERT INTO typeMrpSales VALUES('FDN16', 'OUT049', 'Frozen Foods', 103.999);
INSERT INTO typeMrpSales VALUES('FDE04', 'OUT018', 'Frozen Foods', 179.566);
INSERT INTO typeMrpSales VALUES('FDC51', 'OUT013', 'Dairy', 122.973);
INSERT INTO typeMrpSales VALUES('FDO04', 'OUT018', 'Frozen Foods', 53.5614);
INSERT INTO typeMrpSales VALUES('FDD41', 'OUT017', 'Frozen Foods', 105.3306);
INSERT INTO typeMrpSales VALUES('FDI45', 'OUT045', 'Fruits and Vegetables', 175.8054);
INSERT INTO typeMrpSales VALUES('NCB18', 'OUT027', 'Household', 89.5514);
INSERT INTO typeMrpSales VALUES('FDW51', 'OUT017', 'Meat', 213.956);
INSERT INTO typeMrpSales VALUES('NCK07', 'OUT046', 'Others', 164.1526);
INSERT INTO typeMrpSales VALUES('FDZ45', 'OUT019', 'Snack Foods', 197.9084);
INSERT INTO typeMrpSales VALUES('FDB37', 'OUT046', 'Baking Goods', 241.8538);
INSERT INTO typeMrpSales VALUES('FDZ60', 'OUT035', 'Baking Goods', 106.0596);
INSERT INTO typeMrpSales VALUES('FDN04', 'OUT013', 'Frozen Foods', 176.8344);
INSERT INTO typeMrpSales VALUES('FDW47', 'OUT013', 'Breads', 120.0414);
INSERT INTO typeMrpSales VALUES('FDB17', 'OUT013', 'Frozen Foods', 180.7976);
INSERT INTO typeMrpSales VALUES('FDR56', 'OUT018', 'Fruits and Vegetables', 198.9768);
INSERT INTO typeMrpSales VALUES('FDU55', 'OUT027', 'Fruits and Vegetables', 260.6278);
INSERT INTO typeMrpSales VALUES('FDH40', 'OUT017', 'Frozen Foods', 81.7276);
INSERT INTO typeMrpSales VALUES('FDH05', 'OUT049', 'Frozen Foods', 231.8984);
INSERT INTO typeMrpSales VALUES('FDX58', 'OUT045', 'Snack Foods', 182.695);
INSERT INTO typeMrpSales VALUES('FDC51', 'OUT035', 'Dairy', 121.673);
INSERT INTO typeMrpSales VALUES('NCR05', 'OUT017', 'Health and Hygiene', 199.5084);
INSERT INTO typeMrpSales VALUES('DRH25', 'OUT017', 'Soft Drinks', 50.8324);
INSERT INTO typeMrpSales VALUES('NCR53', 'OUT049', 'Health and Hygiene', 224.0404);
INSERT INTO typeMrpSales VALUES('FDS04', 'OUT046', 'Frozen Foods', 138.6838);
INSERT INTO typeMrpSales VALUES('FDC03', 'OUT013', 'Dairy', 193.3794);
INSERT INTO typeMrpSales VALUES('FDP44', 'OUT010', 'Fruits and Vegetables', 102.2332);
INSERT INTO typeMrpSales VALUES('FDK16', 'OUT018', 'Frozen Foods', 95.3094);
INSERT INTO typeMrpSales VALUES('NCC30', 'OUT046', 'Household', 178.7344);
INSERT INTO typeMrpSales VALUES('FDZ26', 'OUT010', 'Dairy', 238.5222);
INSERT INTO typeMrpSales VALUES('NCO54', 'OUT018', 'Household', 57.1614);
INSERT INTO typeMrpSales VALUES('NCP41', 'OUT010', 'Health and Hygiene', 106.2596);
INSERT INTO typeMrpSales VALUES('DRE27', 'OUT049', 'Dairy', 98.0726);
INSERT INTO typeMrpSales VALUES('FDQ10', 'OUT013', 'Snack Foods', 170.6422);
INSERT INTO typeMrpSales VALUES('NCU42', 'OUT049', 'Household', 170.0474);
INSERT INTO typeMrpSales VALUES('FDX43', 'OUT035', 'Fruits and Vegetables', 165.85);
INSERT INTO typeMrpSales VALUES('NCD19', 'OUT046', 'Household', 55.1614);
INSERT INTO typeMrpSales VALUES('NCI54', 'OUT035', 'Household', 108.1912);
INSERT INTO typeMrpSales VALUES('FDS37', 'OUT010', 'Canned', 114.1492);
INSERT INTO typeMrpSales VALUES('FDO25', 'OUT027', 'Canned', 209.027);
INSERT INTO typeMrpSales VALUES('FDS57', 'OUT049', 'Snack Foods', 143.547);
INSERT INTO typeMrpSales VALUES('FDI52', 'OUT049', 'Frozen Foods', 122.1072);
INSERT INTO typeMrpSales VALUES('DRK12', 'OUT018', 'Soft Drinks', 31.89);
INSERT INTO typeMrpSales VALUES('FDG40', 'OUT017', 'Frozen Foods', 34.4558);
INSERT INTO typeMrpSales VALUES('FDU49', 'OUT045', 'Canned', 86.254);
INSERT INTO typeMrpSales VALUES('FDR49', 'OUT013', 'Canned', 46.5376);
INSERT INTO typeMrpSales VALUES('FDF40', 'OUT019', 'Dairy', 247.8092);
INSERT INTO typeMrpSales VALUES('DRE03', 'OUT017', 'Dairy', 46.3718);
INSERT INTO typeMrpSales VALUES('FDR55', 'OUT027', 'Fruits and Vegetables', 189.1872);
INSERT INTO typeMrpSales VALUES('NCU05', 'OUT035', 'Health and Hygiene', 82.3618);
INSERT INTO typeMrpSales VALUES('FDR36', 'OUT017', 'Baking Goods', 40.3454);
INSERT INTO typeMrpSales VALUES('NCM30', 'OUT013', 'Household', 39.6796);
INSERT INTO typeMrpSales VALUES('FDH24', 'OUT049', 'Baking Goods', 156.6288);
INSERT INTO typeMrpSales VALUES('DRO47', 'OUT018', 'Hard Drinks', 113.986);
INSERT INTO typeMrpSales VALUES('FDQ49', 'OUT017', 'Breakfast', 155.163);
INSERT INTO typeMrpSales VALUES('DRJ37', 'OUT046', 'Soft Drinks', 151.9024);
INSERT INTO typeMrpSales VALUES('NCJ42', 'OUT018', 'Household', 100.8332);
INSERT INTO typeMrpSales VALUES('FDD05', 'OUT049', 'Frozen Foods', 120.9098);
INSERT INTO typeMrpSales VALUES('FDC39', 'OUT018', 'Dairy', 206.6296);
INSERT INTO typeMrpSales VALUES('NCY06', 'OUT045', 'Household', 128.8968);
INSERT INTO typeMrpSales VALUES('NCS06', 'OUT019', 'Household', 263.591);
INSERT INTO typeMrpSales VALUES('FDE16', 'OUT045', 'Frozen Foods', 207.8954);
INSERT INTO typeMrpSales VALUES('NCQ50', 'OUT046', 'Household', 215.2218);
INSERT INTO typeMrpSales VALUES('FDX50', 'OUT046', 'Dairy', 110.3228);
INSERT INTO typeMrpSales VALUES('NCL41', 'OUT017', 'Health and Hygiene', 35.7216);
INSERT INTO typeMrpSales VALUES('FDM58', 'OUT018', 'Snack Foods', 111.8544);
INSERT INTO typeMrpSales VALUES('FDH35', 'OUT010', 'Starchy Foods', 166.3526);
INSERT INTO typeMrpSales VALUES('FDS50', 'OUT049', 'Dairy', 219.8114);
INSERT INTO typeMrpSales VALUES('FDT09', 'OUT027', 'Snack Foods', 133.2284);
INSERT INTO typeMrpSales VALUES('FDR60', 'OUT018', 'Baking Goods', 76.7328);
INSERT INTO typeMrpSales VALUES('FDG22', 'OUT046', 'Snack Foods', 35.019);
INSERT INTO typeMrpSales VALUES('FDL52', 'OUT027', 'Frozen Foods', 37.9506);
INSERT INTO typeMrpSales VALUES('DRJ39', 'OUT018', 'Dairy', 218.3482);
INSERT INTO typeMrpSales VALUES('FDW45', 'OUT017', 'Snack Foods', 145.1418);
INSERT INTO typeMrpSales VALUES('NCQ38', 'OUT045', 'Others', 106.028);
INSERT INTO typeMrpSales VALUES('FDB26', 'OUT017', 'Canned', 53.764);
INSERT INTO typeMrpSales VALUES('DRG48', 'OUT046', 'Soft Drinks', 145.2102);
INSERT INTO typeMrpSales VALUES('FDH10', 'OUT010', 'Snack Foods', 191.8478);
INSERT INTO typeMrpSales VALUES('FDP28', 'OUT049', 'Frozen Foods', 262.8936);
INSERT INTO typeMrpSales VALUES('FDJ44', 'OUT010', 'Fruits and Vegetables', 173.1396);
INSERT INTO typeMrpSales VALUES('FDI07', 'OUT045', 'Meat', 196.9426);
INSERT INTO typeMrpSales VALUES('DRJ24', 'OUT017', 'Soft Drinks', 185.1924);
INSERT INTO typeMrpSales VALUES('DRL47', 'OUT035', 'Hard Drinks', 127.3362);
INSERT INTO typeMrpSales VALUES('FDP38', 'OUT013', 'Canned', 50.9008);
INSERT INTO typeMrpSales VALUES('FDK02', 'OUT019', 'Canned', 120.544);
INSERT INTO typeMrpSales VALUES('FDO23', 'OUT013', 'Breads', 94.1436);
INSERT INTO typeMrpSales VALUES('NCE54', 'OUT013', 'Household', 74.6354);
INSERT INTO typeMrpSales VALUES('FDS52', 'OUT046', 'Frozen Foods', 99.7016);
INSERT INTO typeMrpSales VALUES('FDW01', 'OUT035', 'Canned', 153.4682);
INSERT INTO typeMrpSales VALUES('NCF07', 'OUT017', 'Household', 100.8016);
INSERT INTO typeMrpSales VALUES('DRE15', 'OUT018', 'Dairy', 77.5012);
INSERT INTO typeMrpSales VALUES('FDR58', 'OUT046', 'Snack Foods', 92.3462);
INSERT INTO typeMrpSales VALUES('FDL24', 'OUT013', 'Baking Goods', 173.0422);
INSERT INTO typeMrpSales VALUES('FDQ25', 'OUT027', 'Canned', 173.7422);
INSERT INTO typeMrpSales VALUES('FDX56', 'OUT013', 'Fruits and Vegetables', 207.0638);
INSERT INTO typeMrpSales VALUES('FDD20', 'OUT018', 'Fruits and Vegetables', 123.6046);
INSERT INTO typeMrpSales VALUES('DRF60', 'OUT017', 'Soft Drinks', 236.5564);
INSERT INTO typeMrpSales VALUES('FDW13', 'OUT018', 'Canned', 51.3324);
INSERT INTO typeMrpSales VALUES('FDF09', 'OUT013', 'Fruits and Vegetables', 39.2848);
INSERT INTO typeMrpSales VALUES('FDY45', 'OUT035', 'Snack Foods', 253.0356);
INSERT INTO typeMrpSales VALUES('FDR26', 'OUT045', 'Dairy', 178.3028);
INSERT INTO typeMrpSales VALUES('FDZ01', 'OUT046', 'Canned', 103.399);
INSERT INTO typeMrpSales VALUES('FDH53', 'OUT010', 'Frozen Foods', 83.9592);
INSERT INTO typeMrpSales VALUES('FDG52', 'OUT018', 'Frozen Foods', 46.1402);
INSERT INTO typeMrpSales VALUES('FDW50', 'OUT045', 'Dairy', 167.5158);
INSERT INTO typeMrpSales VALUES('FDX49', 'OUT035', 'Canned', 232.23);
INSERT INTO typeMrpSales VALUES('FDJ44', 'OUT046', 'Fruits and Vegetables', 172.8396);
INSERT INTO typeMrpSales VALUES('NCI31', 'OUT027', 'Others', 37.519);
INSERT INTO typeMrpSales VALUES('FDZ52', 'OUT035', 'Frozen Foods', 112.4886);
INSERT INTO typeMrpSales VALUES('FDE17', 'OUT049', 'Frozen Foods', 152.1366);
INSERT INTO typeMrpSales VALUES('FDG34', 'OUT018', 'Snack Foods', 109.5254);
INSERT INTO typeMrpSales VALUES('FDE26', 'OUT010', 'Canned', 143.0786);
INSERT INTO typeMrpSales VALUES('FDD56', 'OUT018', 'Fruits and Vegetables', 176.5054);
INSERT INTO typeMrpSales VALUES('FDR52', 'OUT045', 'Frozen Foods', 191.3846);
INSERT INTO typeMrpSales VALUES('FDQ13', 'OUT035', 'Canned', 84.1908);
INSERT INTO typeMrpSales VALUES('NCJ42', 'OUT019', 'Household', 102.7332);
INSERT INTO typeMrpSales VALUES('FDH10', 'OUT019', 'Snack Foods', 192.6478);
INSERT INTO typeMrpSales VALUES('NCG42', 'OUT035', 'Household', 131.231);
INSERT INTO typeMrpSales VALUES('FDT31', 'OUT045', 'Fruits and Vegetables', 187.5872);
INSERT INTO typeMrpSales VALUES('DRD25', 'OUT045', 'Soft Drinks', 112.686);
INSERT INTO typeMrpSales VALUES('FDR35', 'OUT035', 'Breads', 199.1742);
INSERT INTO typeMrpSales VALUES('FDL33', 'OUT045', 'Snack Foods', 193.9452);
INSERT INTO typeMrpSales VALUES('FDT45', 'OUT035', 'Snack Foods', 53.3956);
INSERT INTO typeMrpSales VALUES('FDT16', 'OUT045', 'Frozen Foods', 260.5278);
INSERT INTO typeMrpSales VALUES('DRE49', 'OUT035', 'Soft Drinks', 153.0024);
INSERT INTO typeMrpSales VALUES('DRF60', 'OUT049', 'Soft Drinks', 239.9564);
INSERT INTO typeMrpSales VALUES('NCB54', 'OUT049', 'Health and Hygiene', 128.3336);
INSERT INTO typeMrpSales VALUES('FDH20', 'OUT049', 'Fruits and Vegetables', 97.341);
INSERT INTO typeMrpSales VALUES('FDA31', 'OUT035', 'Fruits and Vegetables', 172.908);
INSERT INTO typeMrpSales VALUES('FDE33', 'OUT045', 'Fruits and Vegetables', 76.8644);
INSERT INTO typeMrpSales VALUES('FDM12', 'OUT010', 'Baking Goods', 189.2214);
INSERT INTO typeMrpSales VALUES('FDW44', 'OUT013', 'Fruits and Vegetables', 168.6448);
INSERT INTO typeMrpSales VALUES('DRE48', 'OUT013', 'Soft Drinks', 197.8768);
INSERT INTO typeMrpSales VALUES('NCX18', 'OUT045', 'Household', 196.511);
INSERT INTO typeMrpSales VALUES('FDA38', 'OUT018', 'Dairy', 239.1538);
INSERT INTO typeMrpSales VALUES('FDQ19', 'OUT013', 'Fruits and Vegetables', 242.6512);
INSERT INTO typeMrpSales VALUES('FDY47', 'OUT027', 'Breads', 129.131);
INSERT INTO typeMrpSales VALUES('FDE17', 'OUT013', 'Frozen Foods', 151.3366);
INSERT INTO typeMrpSales VALUES('FDY25', 'OUT046', 'Canned', 181.8976);
INSERT INTO typeMrpSales VALUES('FDT03', 'OUT035', 'Meat', 185.5608);
INSERT INTO typeMrpSales VALUES('FDB49', 'OUT045', 'Baking Goods', 98.0384);
INSERT INTO typeMrpSales VALUES('FDL43', 'OUT017', 'Meat', 76.067);
INSERT INTO typeMrpSales VALUES('FDE47', 'OUT017', 'Starchy Foods', 123.5046);
INSERT INTO typeMrpSales VALUES('FDS49', 'OUT045', 'Canned', 78.3644);
INSERT INTO typeMrpSales VALUES('FDU23', 'OUT018', 'Breads', 163.6184);
INSERT INTO typeMrpSales VALUES('FDU38', 'OUT027', 'Dairy', 192.9504);
INSERT INTO typeMrpSales VALUES('FDV09', 'OUT019', 'Snack Foods', 148.0734);
INSERT INTO typeMrpSales VALUES('FDR20', 'OUT049', 'Fruits and Vegetables', 45.5744);
INSERT INTO typeMrpSales VALUES('FDY11', 'OUT046', 'Baking Goods', 65.8142);
INSERT INTO typeMrpSales VALUES('FDG40', 'OUT027', 'Frozen Foods', 31.9558);
INSERT INTO typeMrpSales VALUES('FDX20', 'OUT017', 'Fruits and Vegetables', 228.372);
INSERT INTO typeMrpSales VALUES('FDZ27', 'OUT013', 'Dairy', 50.035);
INSERT INTO typeMrpSales VALUES('FDH09', 'OUT017', 'Seafood', 51.3982);
INSERT INTO typeMrpSales VALUES('FDG29', 'OUT049', 'Frozen Foods', 42.7454);
INSERT INTO typeMrpSales VALUES('NCA30', 'OUT049', 'Household', 190.1872);
INSERT INTO typeMrpSales VALUES('NCL53', 'OUT017', 'Health and Hygiene', 175.3028);
INSERT INTO typeMrpSales VALUES('DRE15', 'OUT046', 'Dairy', 77.6012);
INSERT INTO typeMrpSales VALUES('NCS38', 'OUT046', 'Household', 112.9176);
INSERT INTO typeMrpSales VALUES('FDY21', 'OUT019', 'Snack Foods', 196.011);
INSERT INTO typeMrpSales VALUES('FDB58', 'OUT010', 'Snack Foods', 140.6154);
INSERT INTO typeMrpSales VALUES('FDH41', 'OUT046', 'Frozen Foods', 213.3534);
INSERT INTO typeMrpSales VALUES('DRF23', 'OUT049', 'Hard Drinks', 172.4396);
INSERT INTO typeMrpSales VALUES('FDE05', 'OUT010', 'Frozen Foods', 146.2102);
