INSERT INTO fatSales VALUES('FDA15', 'OUT049', 'Low Fat', 3735.138);
INSERT INTO fatSales VALUES('FDX57', 'OUT010', 'Regular', 97.2068);
INSERT INTO fatSales VALUES('NCV05', 'OUT046', 'Low Fat', 1544.656);
INSERT INTO fatSales VALUES('FDX39', 'OUT013', 'Regular', 3165.879);
INSERT INTO fatSales VALUES('FDA23', 'OUT046', 'Low Fat', 1619.2256);
INSERT INTO fatSales VALUES('NCV06', 'OUT046', 'Low Fat', 387.4956);
INSERT INTO fatSales VALUES('NCE31', 'OUT045', 'Low Fat', 415.4592);
INSERT INTO fatSales VALUES('DRI39', 'OUT010', 'Low Fat', 226.372);
INSERT INTO fatSales VALUES('FDH21', 'OUT049', 'Low Fat', 1267.6832);
INSERT INTO fatSales VALUES('FDR26', 'OUT046', 'Low Fat', 1593.9252);
INSERT INTO fatSales VALUES('FDA14', 'OUT019', 'Low Fat', 585.904);
INSERT INTO fatSales VALUES('FDG21', 'OUT018', 'Regular', 3745.125);
INSERT INTO fatSales VALUES('NCQ38', 'OUT018', 'Low Fat', 1810.976);
INSERT INTO fatSales VALUES('FDN20', 'OUT046', 'Low Fat', 2358.2636);
INSERT INTO fatSales VALUES('NCN29', 'OUT017', 'Low Fat', 145.8102);
INSERT INTO fatSales VALUES('FDI28', 'OUT018', 'Low Fat', 554.6114);
INSERT INTO fatSales VALUES('FDA03', 'OUT027', 'Regular', 3499.4448);
INSERT INTO fatSales VALUES('FDZ28', 'OUT046', 'Regular', 1780.3492);
INSERT INTO fatSales VALUES('FDO52', 'OUT027', 'Regular', 2566.659);
INSERT INTO fatSales VALUES('FDU10', 'OUT017', 'Regular', 1230.3984);
INSERT INTO fatSales VALUES('FDP13', 'OUT027', 'Regular', 918.804);
INSERT INTO fatSales VALUES('FDV02', 'OUT027', 'Low Fat', 3079.9908);
INSERT INTO fatSales VALUES('FDS28', 'OUT049', 'Regular', 744.3644);
INSERT INTO fatSales VALUES('FDW49', 'OUT046', 'Low Fat', 716.4008);
INSERT INTO fatSales VALUES('FDP33', 'OUT046', 'Low Fat', 5113.344);
INSERT INTO fatSales VALUES('FDJ03', 'OUT045', 'Regular', 886.8456);
INSERT INTO fatSales VALUES('FDQ51', 'OUT013', 'Regular', 1039.9796);
INSERT INTO fatSales VALUES('DRK23', 'OUT049', 'Low Fat', 4554.072);
INSERT INTO fatSales VALUES('FDU11', 'OUT045', 'Low Fat', 1807.647);
INSERT INTO fatSales VALUES('NCK06', 'OUT035', 'Low Fat', 2665.8632);
INSERT INTO fatSales VALUES('FDY09', 'OUT017', 'Low Fat', 1751.054);
INSERT INTO fatSales VALUES('NCY18', 'OUT035', 'Low Fat', 2626.581);
INSERT INTO fatSales VALUES('FDA10', 'OUT049', 'Low Fat', 1470.0864);
INSERT INTO fatSales VALUES('FDO34', 'OUT017', 'Low Fat', 4362.3216);
INSERT INTO fatSales VALUES('FDE38', 'OUT027', 'Low Fat', 4476.1734);
INSERT INTO fatSales VALUES('FDF40', 'OUT017', 'Regular', 2241.0828);
INSERT INTO fatSales VALUES('FDY02', 'OUT017', 'Regular', 4733.838);
INSERT INTO fatSales VALUES('FDS03', 'OUT019', 'Low Fat', 258.3304);
INSERT INTO fatSales VALUES('FDB59', 'OUT046', 'Low Fat', 3174.5344);
INSERT INTO fatSales VALUES('NCQ42', 'OUT049', 'Low Fat', 2924.8594);
INSERT INTO fatSales VALUES('FDO15', 'OUT049', 'Regular', 960.7494);
INSERT INTO fatSales VALUES('DRN47', 'OUT010', 'Low Fat', 539.298);
INSERT INTO fatSales VALUES('FDA03', 'OUT035', 'Regular', 2041.3428);
INSERT INTO fatSales VALUES('FDA01', 'OUT035', 'Regular', 996.0368);
INSERT INTO fatSales VALUES('FDB38', 'OUT046', 'Regular', 1757.712);
INSERT INTO fatSales VALUES('FDT59', 'OUT017', 'Low Fat', 1842.9344);
INSERT INTO fatSales VALUES('FDG08', 'OUT035', 'Regular', 3435.528);
INSERT INTO fatSales VALUES('FDV56', 'OUT027', 'Regular', 1402.1748);
INSERT INTO fatSales VALUES('FDY26', 'OUT046', 'Regular', 7833.8028);
INSERT INTO fatSales VALUES('DRE13', 'OUT035', 'Low Fat', 1221.0772);
INSERT INTO fatSales VALUES('FDE51', 'OUT046', 'Regular', 669.129);
INSERT INTO fatSales VALUES('FDL40', 'OUT045', 'Low Fat', 1061.951);
INSERT INTO fatSales VALUES('FDD50', 'OUT046', 'Low Fat', 2874.9244);
INSERT INTO fatSales VALUES('FDC04', 'OUT027', 'Low Fat', 4592.0226);
INSERT INTO fatSales VALUES('FDN15', 'OUT010', 'Low Fat', 419.454);
INSERT INTO fatSales VALUES('FDC46', 'OUT013', 'Low Fat', 5163.9448);
INSERT INTO fatSales VALUES('FDV56', 'OUT013', 'Regular', 323.5788);
INSERT INTO fatSales VALUES('FDK43', 'OUT018', 'Low Fat', 1265.02);
INSERT INTO fatSales VALUES('NCR29', 'OUT045', 'Low Fat', 622.523);
INSERT INTO fatSales VALUES('FDY03', 'OUT046', 'Regular', 1125.202);
INSERT INTO fatSales VALUES('FDU44', 'OUT049', 'Regular', 5198.5664);
INSERT INTO fatSales VALUES('FDZ04', 'OUT013', 'Low Fat', 379.506);
INSERT INTO fatSales VALUES('FDU16', 'OUT049', 'Regular', 2432.8332);
INSERT INTO fatSales VALUES('FDV07', 'OUT045', 'Low Fat', 1657.842);
INSERT INTO fatSales VALUES('NCL19', 'OUT013', 'Low Fat', 3006.087);
INSERT INTO fatSales VALUES('FDW01', 'OUT027', 'Low Fat', 2287.023);
INSERT INTO fatSales VALUES('FDC10', 'OUT027', 'Regular', 1687.1372);
INSERT INTO fatSales VALUES('DRC12', 'OUT017', 'Low Fat', 3237.1196);
INSERT INTO fatSales VALUES('DRK39', 'OUT013', 'Low Fat', 2746.425);
INSERT INTO fatSales VALUES('FDG24', 'OUT027', 'Low Fat', 1331.6);
INSERT INTO fatSales VALUES('FDO04', 'OUT027', 'Low Fat', 607.8754);
INSERT INTO fatSales VALUES('DRB25', 'OUT035', 'Low Fat', 857.5504);
INSERT INTO fatSales VALUES('FDK26', 'OUT035', 'Regular', 4287.752);
INSERT INTO fatSales VALUES('FDM52', 'OUT045', 'Low Fat', 1773.6912);
INSERT INTO fatSales VALUES('FDY07', 'OUT045', 'Low Fat', 597.2226);
INSERT INTO fatSales VALUES('NCO06', 'OUT018', 'Low Fat', 441.4254);
INSERT INTO fatSales VALUES('FDO10', 'OUT045', 'Regular', 1431.47);
INSERT INTO fatSales VALUES('FDK34', 'OUT013', 'Low Fat', 2860.2768);
INSERT INTO fatSales VALUES('FDS33', 'OUT027', 'Regular', 3364.9532);
INSERT INTO fatSales VALUES('FDO45', 'OUT045', 'Regular', 1757.712);
INSERT INTO fatSales VALUES('FDF08', 'OUT046', 'Regular', 966.7416);
INSERT INTO fatSales VALUES('FDH58', 'OUT045', 'Low Fat', 1958.1178);
INSERT INTO fatSales VALUES('FDS03', 'OUT010', 'Low Fat', 129.1652);
INSERT INTO fatSales VALUES('DRF03', 'OUT035', 'Low Fat', 365.5242);
INSERT INTO fatSales VALUES('FDE02', 'OUT013', 'Low Fat', 1783.6782);
INSERT INTO fatSales VALUES('NCZ06', 'OUT013', 'Low Fat', 2790.3678);
INSERT INTO fatSales VALUES('FDW49', 'OUT049', 'Low Fat', 2328.3026);
INSERT INTO fatSales VALUES('FDR23', 'OUT017', 'Low Fat', 2822.992);
INSERT INTO fatSales VALUES('NCJ29', 'OUT027', 'Low Fat', 2045.3376);
INSERT INTO fatSales VALUES('FDY35', 'OUT045', 'Regular', 505.3422);
INSERT INTO fatSales VALUES('FDZ01', 'OUT027', 'Regular', 3095.97);
INSERT INTO fatSales VALUES('FDX19', 'OUT046', 'Low Fat', 5141.3076);
INSERT INTO fatSales VALUES('FDG44', 'OUT018', 'Low Fat', 808.947);
INSERT INTO fatSales VALUES('FDQ23', 'OUT035', 'Low Fat', 2665.8632);
INSERT INTO fatSales VALUES('FDY22', 'OUT017', 'Regular', 2588.6304);
INSERT INTO fatSales VALUES('NCN41', 'OUT013', 'Low Fat', 1108.557);
INSERT INTO fatSales VALUES('FDA47', 'OUT045', 'Regular', 1304.968);
INSERT INTO fatSales VALUES('NCD19', 'OUT045', 'Low Fat', 331.5684);
INSERT INTO fatSales VALUES('FDO36', 'OUT027', 'Low Fat', 3235.788);
INSERT INTO fatSales VALUES('FDH20', 'OUT013', 'Regular', 3089.312);
INSERT INTO fatSales VALUES('FDN12', 'OUT027', 'Low Fat', 3355.632);
INSERT INTO fatSales VALUES('NCJ30', 'OUT018', 'Low Fat', 2037.348);
INSERT INTO fatSales VALUES('FDB09', 'OUT049', 'Low Fat', 1867.569);
INSERT INTO fatSales VALUES('FDA09', 'OUT045', 'Regular', 898.83);
INSERT INTO fatSales VALUES('FDL24', 'OUT027', 'Regular', 7759.899);
INSERT INTO fatSales VALUES('FDP03', 'OUT035', 'Regular', 2848.2924);
INSERT INTO fatSales VALUES('FDR58', 'OUT027', 'Low Fat', 2868.9322);
INSERT INTO fatSales VALUES('FDO13', 'OUT013', 'Low Fat', 3617.9572);
INSERT INTO fatSales VALUES('DRD49', 'OUT035', 'Low Fat', 5243.8408);
INSERT INTO fatSales VALUES('NCF42', 'OUT035', 'Low Fat', 2109.2544);
INSERT INTO fatSales VALUES('DRK35', 'OUT035', 'Low Fat', 721.0614);
INSERT INTO fatSales VALUES('FDR58', 'OUT013', 'Low Fat', 1203.1006);
INSERT INTO fatSales VALUES('FDQ15', 'OUT027', 'Regular', 1868.2348);
INSERT INTO fatSales VALUES('NCP50', 'OUT013', 'Low Fat', 322.2472);
INSERT INTO fatSales VALUES('FDV45', 'OUT046', 'Low Fat', 3942.8676);
INSERT INTO fatSales VALUES('DRP35', 'OUT049', 'Low Fat', 3195.84);
INSERT INTO fatSales VALUES('FDN23', 'OUT035', 'Regular', 3338.3212);
INSERT INTO fatSales VALUES('FDS44', 'OUT049', 'Regular', 4086.0146);
INSERT INTO fatSales VALUES('NCI54', 'OUT018', 'Low Fat', 1856.2504);
INSERT INTO fatSales VALUES('FDH40', 'OUT027', 'Regular', 1380.8692);
INSERT INTO fatSales VALUES('FDF46', 'OUT035', 'Low Fat', 1267.0174);
INSERT INTO fatSales VALUES('FDA21', 'OUT018', 'Low Fat', 5182.5872);
INSERT INTO fatSales VALUES('FDI41', 'OUT019', 'Regular', 147.1418);
INSERT INTO fatSales VALUES('FDE35', 'OUT010', 'Regular', 58.5904);
INSERT INTO fatSales VALUES('DRJ24', 'OUT013', 'Low Fat', 5367.6796);
INSERT INTO fatSales VALUES('NCK17', 'OUT027', 'Low Fat', 1358.232);
INSERT INTO fatSales VALUES('FDA15', 'OUT045', 'Low Fat', 5976.2208);
INSERT INTO fatSales VALUES('FDD36', 'OUT027', 'Low Fat', 2251.7356);
INSERT INTO fatSales VALUES('DRD60', 'OUT019', 'Low Fat', 181.7634);
INSERT INTO fatSales VALUES('FDA46', 'OUT013', 'Low Fat', 5443.5808);
INSERT INTO fatSales VALUES('NCO54', 'OUT045', 'Low Fat', 1547.3192);
INSERT INTO fatSales VALUES('FDL48', 'OUT010', 'Regular', 145.8102);
INSERT INTO fatSales VALUES('NCM19', 'OUT027', 'Low Fat', 5063.409);
INSERT INTO fatSales VALUES('FDS31', 'OUT049', 'Regular', 3067.3406);
INSERT INTO fatSales VALUES('FDV12', 'OUT035', 'Regular', 2857.6136);
INSERT INTO fatSales VALUES('FDQ31', 'OUT035', 'Regular', 1406.1696);
INSERT INTO fatSales VALUES('FDK55', 'OUT019', 'Low Fat', 178.4344);
INSERT INTO fatSales VALUES('DRG15', 'OUT049', 'Low Fat', 1470.0864);
INSERT INTO fatSales VALUES('NCR17', 'OUT018', 'Low Fat', 2896.23);
INSERT INTO fatSales VALUES('FDV01', 'OUT027', 'Regular', 6515.5188);
INSERT INTO fatSales VALUES('FDT21', 'OUT018', 'Low Fat', 996.0368);
INSERT INTO fatSales VALUES('FDT10', 'OUT046', 'Regular', 948.0992);
INSERT INTO fatSales VALUES('FDL56', 'OUT019', 'Low Fat', 87.2198);
INSERT INTO fatSales VALUES('FDS49', 'OUT017', 'Low Fat', 1178.466);
INSERT INTO fatSales VALUES('FDT32', 'OUT019', 'Regular', 565.2642);
INSERT INTO fatSales VALUES('NCX42', 'OUT013', 'Low Fat', 2137.8838);
INSERT INTO fatSales VALUES('FDX26', 'OUT010', 'Low Fat', 547.2876);
INSERT INTO fatSales VALUES('FDN02', 'OUT013', 'Low Fat', 2691.8294);
INSERT INTO fatSales VALUES('FDJ40', 'OUT027', 'Regular', 3057.3536);
INSERT INTO fatSales VALUES('FDU13', 'OUT019', 'Low Fat', 588.5672);
INSERT INTO fatSales VALUES('DRE27', 'OUT046', 'Low Fat', 978.726);
INSERT INTO fatSales VALUES('FDS27', 'OUT035', 'Regular', 2356.932);
INSERT INTO fatSales VALUES('FDU44', 'OUT027', 'Regular', 3086.6488);
INSERT INTO fatSales VALUES('DRM59', 'OUT019', 'Low Fat', 461.3994);
INSERT INTO fatSales VALUES('FDT08', 'OUT049', 'Low Fat', 2696.49);
INSERT INTO fatSales VALUES('FDL46', 'OUT017', 'Low Fat', 1649.8524);
INSERT INTO fatSales VALUES('NCV30', 'OUT010', 'Low Fat', 126.502);
INSERT INTO fatSales VALUES('FDP51', 'OUT046', 'Regular', 2014.7108);
INSERT INTO fatSales VALUES('FDA51', 'OUT013', 'Regular', 1707.777);
INSERT INTO fatSales VALUES('FDM46', 'OUT045', 'Low Fat', 932.12);
INSERT INTO fatSales VALUES('FDK02', 'OUT017', 'Low Fat', 2157.192);
INSERT INTO fatSales VALUES('FDJ57', 'OUT035', 'Regular', 4643.955);
INSERT INTO fatSales VALUES('FDJ45', 'OUT027', 'Low Fat', 1280.9992);
INSERT INTO fatSales VALUES('NCB31', 'OUT017', 'Low Fat', 2366.919);
INSERT INTO fatSales VALUES('FDJ03', 'OUT013', 'Regular', 886.8456);
INSERT INTO fatSales VALUES('FDT50', 'OUT013', 'Regular', 958.752);
INSERT INTO fatSales VALUES('NCY41', 'OUT049', 'Low Fat', 1150.5024);
INSERT INTO fatSales VALUES('FDJ60', 'OUT045', 'Regular', 2641.8944);
INSERT INTO fatSales VALUES('FDZ35', 'OUT046', 'Regular', 1547.985);
INSERT INTO fatSales VALUES('FDS21', 'OUT018', 'Regular', 619.194);
INSERT INTO fatSales VALUES('FDM52', 'OUT046', 'Low Fat', 2808.3444);
INSERT INTO fatSales VALUES('FDQ08', 'OUT027', 'Regular', 2266.3832);
INSERT INTO fatSales VALUES('FDQ56', 'OUT035', 'Low Fat', 1929.4884);
INSERT INTO fatSales VALUES('FDS47', 'OUT049', 'Low Fat', 1054.6272);
INSERT INTO fatSales VALUES('DRM48', 'OUT045', 'Low Fat', 1155.8288);
INSERT INTO fatSales VALUES('FDW46', 'OUT017', 'Regular', 1174.4712);
INSERT INTO fatSales VALUES('FDW27', 'OUT018', 'Regular', 3412.8908);
INSERT INTO fatSales VALUES('NCQ05', 'OUT010', 'Low Fat', 300.9416);
INSERT INTO fatSales VALUES('FDU40', 'OUT010', 'Low Fat', 387.4956);
INSERT INTO fatSales VALUES('DRE12', 'OUT027', 'Low Fat', 2942.836);
INSERT INTO fatSales VALUES('FDX35', 'OUT013', 'Regular', 4098.6648);
INSERT INTO fatSales VALUES('FDD51', 'OUT049', 'Low Fat', 452.744);
INSERT INTO fatSales VALUES('FDY27', 'OUT018', 'Low Fat', 3211.8192);
INSERT INTO fatSales VALUES('NCN06', 'OUT046', 'Low Fat', 2620.5888);
INSERT INTO fatSales VALUES('FDR57', 'OUT035', 'Regular', 1414.1592);
INSERT INTO fatSales VALUES('FDL32', 'OUT049', 'Regular', 1565.9616);
INSERT INTO fatSales VALUES('FDW46', 'OUT018', 'Regular', 1043.9744);
INSERT INTO fatSales VALUES('NCO17', 'OUT027', 'Low Fat', 3115.944);
INSERT INTO fatSales VALUES('FDR19', 'OUT013', 'Regular', 729.051);
INSERT INTO fatSales VALUES('FDJ33', 'OUT017', 'Regular', 2956.152);
INSERT INTO fatSales VALUES('FDB15', 'OUT046', 'Low Fat', 527.3136);
INSERT INTO fatSales VALUES('FDA52', 'OUT045', 'Regular', 1058.622);
INSERT INTO fatSales VALUES('FDZ08', 'OUT027', 'Regular', 1320.9472);
INSERT INTO fatSales VALUES('FDR27', 'OUT017', 'Regular', 3047.3666);
INSERT INTO fatSales VALUES('NCK42', 'OUT046', 'Low Fat', 1725.7536);
INSERT INTO fatSales VALUES('FDZ12', 'OUT019', 'Low Fat', 143.147);
INSERT INTO fatSales VALUES('FDM60', 'OUT018', 'Regular', 446.7518);
INSERT INTO fatSales VALUES('NCI31', 'OUT018', 'Low Fat', 585.904);
INSERT INTO fatSales VALUES('FDX39', 'OUT049', 'Regular', 6331.758);
INSERT INTO fatSales VALUES('NCV05', 'OUT017', 'Low Fat', 1853.5872);
INSERT INTO fatSales VALUES('FDX16', 'OUT046', 'Low Fat', 2247.075);
INSERT INTO fatSales VALUES('DRK12', 'OUT010', 'Low Fat', 33.29);
INSERT INTO fatSales VALUES('NCA05', 'OUT017', 'Low Fat', 445.4202);
INSERT INTO fatSales VALUES('DRG51', 'OUT010', 'Low Fat', 657.8104);
INSERT INTO fatSales VALUES('NCR30', 'OUT018', 'Low Fat', 223.7088);
INSERT INTO fatSales VALUES('NCE31', 'OUT046', 'Low Fat', 727.0536);
INSERT INTO fatSales VALUES('FDM56', 'OUT019', 'Low Fat', 218.3824);
INSERT INTO fatSales VALUES('FDP24', 'OUT013', 'Low Fat', 2665.8632);
INSERT INTO fatSales VALUES('DRM37', 'OUT010', 'Low Fat', 591.2304);
INSERT INTO fatSales VALUES('FDN56', 'OUT013', 'Regular', 2311.6576);
INSERT INTO fatSales VALUES('DRE60', 'OUT049', 'Low Fat', 7017.532);
INSERT INTO fatSales VALUES('FDW49', 'OUT019', 'Low Fat', 895.501);
INSERT INTO fatSales VALUES('FDM20', 'OUT046', 'Low Fat', 4655.2736);
INSERT INTO fatSales VALUES('FDK15', 'OUT019', 'Low Fat', 198.4084);
INSERT INTO fatSales VALUES('FDK48', 'OUT049', 'Low Fat', 451.4124);
INSERT INTO fatSales VALUES('FDO49', 'OUT019', 'Regular', 50.6008);
INSERT INTO fatSales VALUES('FDC09', 'OUT018', 'Regular', 615.1992);
INSERT INTO fatSales VALUES('NCZ41', 'OUT013', 'Low Fat', 876.1928);
INSERT INTO fatSales VALUES('FDP19', 'OUT046', 'Low Fat', 2454.1388);
INSERT INTO fatSales VALUES('FDQ24', 'OUT019', 'Low Fat', 251.6724);
INSERT INTO fatSales VALUES('DRL11', 'OUT045', 'Low Fat', 4102.6596);
INSERT INTO fatSales VALUES('FDO36', 'OUT035', 'Low Fat', 2696.49);
INSERT INTO fatSales VALUES('FDN52', 'OUT027', 'Regular', 1569.9564);
INSERT INTO fatSales VALUES('FDF21', 'OUT010', 'Regular', 189.753);
INSERT INTO fatSales VALUES('FDU40', 'OUT013', 'Low Fat', 3099.9648);
INSERT INTO fatSales VALUES('FDS51', 'OUT049', 'Low Fat', 743.0328);
INSERT INTO fatSales VALUES('FDE45', 'OUT046', 'Low Fat', 1611.9018);
INSERT INTO fatSales VALUES('FDX50', 'OUT035', 'Low Fat', 1215.7508);
INSERT INTO fatSales VALUES('NCN14', 'OUT019', 'Low Fat', 367.5216);
INSERT INTO fatSales VALUES('FDQ21', 'OUT018', 'Low Fat', 3150.5656);
INSERT INTO fatSales VALUES('FDV57', 'OUT027', 'Regular', 7370.406);
INSERT INTO fatSales VALUES('FDB44', 'OUT013', 'Low Fat', 2954.8204);
INSERT INTO fatSales VALUES('FDG52', 'OUT013', 'Low Fat', 643.1628);
INSERT INTO fatSales VALUES('FDL38', 'OUT019', 'Regular', 89.2172);
INSERT INTO fatSales VALUES('NCS54', 'OUT049', 'Low Fat', 4940.236);
INSERT INTO fatSales VALUES('DRL37', 'OUT035', 'Low Fat', 735.709);
INSERT INTO fatSales VALUES('FDA43', 'OUT013', 'Low Fat', 1170.4764);
INSERT INTO fatSales VALUES('FDZ39', 'OUT017', 'Regular', 1135.189);
INSERT INTO fatSales VALUES('FDG45', 'OUT018', 'Low Fat', 3823.0236);
INSERT INTO fatSales VALUES('FDH10', 'OUT013', 'Low Fat', 1549.9824);
INSERT INTO fatSales VALUES('FDO10', 'OUT010', 'Regular', 114.5176);
INSERT INTO fatSales VALUES('FDS35', 'OUT027', 'Low Fat', 1033.3216);
INSERT INTO fatSales VALUES('FDI41', 'OUT027', 'Regular', 4561.3958);
INSERT INTO fatSales VALUES('FDN21', 'OUT027', 'Low Fat', 2416.854);
INSERT INTO fatSales VALUES('NCO18', 'OUT045', 'Low Fat', 2133.2232);
INSERT INTO fatSales VALUES('FDB34', 'OUT018', 'Low Fat', 1482.7366);
INSERT INTO fatSales VALUES('FDD05', 'OUT013', 'Low Fat', 2892.2352);
INSERT INTO fatSales VALUES('FDX59', 'OUT027', 'Low Fat', 984.7182);
INSERT INTO fatSales VALUES('FDZ23', 'OUT010', 'Regular', 745.696);
INSERT INTO fatSales VALUES('FDX27', 'OUT046', 'Regular', 1323.6104);
INSERT INTO fatSales VALUES('FDV07', 'OUT017', 'Low Fat', 1547.3192);
INSERT INTO fatSales VALUES('FDR14', 'OUT017', 'Low Fat', 647.1576);
INSERT INTO fatSales VALUES('FDO01', 'OUT045', 'Regular', 1798.9916);
INSERT INTO fatSales VALUES('FDO13', 'OUT017', 'Low Fat', 1973.4312);
INSERT INTO fatSales VALUES('FDU25', 'OUT035', 'Low Fat', 1737.738);
INSERT INTO fatSales VALUES('NCK54', 'OUT027', 'Low Fat', 1864.24);
INSERT INTO fatSales VALUES('FDZ56', 'OUT013', 'Low Fat', 1516.0266);
INSERT INTO fatSales VALUES('NCL55', 'OUT017', 'Low Fat', 5060.08);
INSERT INTO fatSales VALUES('FDD59', 'OUT045', 'Regular', 2157.192);
INSERT INTO fatSales VALUES('FDJ55', 'OUT017', 'Regular', 5400.9696);
INSERT INTO fatSales VALUES('FDA45', 'OUT027', 'Low Fat', 5469.547);
INSERT INTO fatSales VALUES('DRF23', 'OUT010', 'Low Fat', 174.4396);
INSERT INTO fatSales VALUES('FDT49', 'OUT017', 'Low Fat', 1278.336);
INSERT INTO fatSales VALUES('NCO17', 'OUT035', 'Low Fat', 1917.504);
INSERT INTO fatSales VALUES('FDH22', 'OUT035', 'Low Fat', 1017.3424);
INSERT INTO fatSales VALUES('FDT34', 'OUT049', 'Low Fat', 1998.7316);
INSERT INTO fatSales VALUES('FDB39', 'OUT045', 'Low Fat', 615.1992);
INSERT INTO fatSales VALUES('FDQ22', 'OUT045', 'Low Fat', 314.2576);
INSERT INTO fatSales VALUES('NCN43', 'OUT010', 'Low Fat', 123.173);
INSERT INTO fatSales VALUES('FDG57', 'OUT049', 'Low Fat', 1020.6714);
INSERT INTO fatSales VALUES('FDR20', 'OUT035', 'Regular', 1222.4088);
INSERT INTO fatSales VALUES('FDU22', 'OUT019', 'Low Fat', 474.0496);
INSERT INTO fatSales VALUES('NCC43', 'OUT017', 'Low Fat', 1506.0396);
INSERT INTO fatSales VALUES('FDP01', 'OUT010', 'Regular', 762.341);
INSERT INTO fatSales VALUES('FDF52', 'OUT018', 'Low Fat', 1277.0044);
INSERT INTO fatSales VALUES('FDZ33', 'OUT035', 'Low Fat', 3547.3824);
INSERT INTO fatSales VALUES('FDP48', 'OUT027', 'Regular', 6042.135);
INSERT INTO fatSales VALUES('FDW56', 'OUT010', 'Low Fat', 384.8324);
INSERT INTO fatSales VALUES('FDC26', 'OUT018', 'Low Fat', 1223.0746);
INSERT INTO fatSales VALUES('FDF34', 'OUT018', 'Regular', 2182.4924);
INSERT INTO fatSales VALUES('FDJ33', 'OUT035', 'Regular', 1478.076);
INSERT INTO fatSales VALUES('FDD04', 'OUT045', 'Low Fat', 1418.154);
INSERT INTO fatSales VALUES('NCJ31', 'OUT013', 'Low Fat', 5061.4116);
INSERT INTO fatSales VALUES('FDO57', 'OUT046', 'Low Fat', 2888.2404);
INSERT INTO fatSales VALUES('FDM36', 'OUT027', 'Regular', 5518.1504);
INSERT INTO fatSales VALUES('NCY05', 'OUT046', 'Low Fat', 741.0354);
INSERT INTO fatSales VALUES('FDS44', 'OUT027', 'Regular', 9133.4444);
INSERT INTO fatSales VALUES('FDZ39', 'OUT035', 'Regular', 1857.582);
INSERT INTO fatSales VALUES('NCM31', 'OUT017', 'Low Fat', 2836.308);
INSERT INTO fatSales VALUES('DRK11', 'OUT013', 'Low Fat', 2982.784);
INSERT INTO fatSales VALUES('FDO34', 'OUT010', 'Low Fat', 167.7816);
INSERT INTO fatSales VALUES('NCL30', 'OUT035', 'Low Fat', 1150.5024);
INSERT INTO fatSales VALUES('FDK28', 'OUT017', 'Low Fat', 9275.9256);
INSERT INTO fatSales VALUES('DRJ39', 'OUT035', 'Low Fat', 5038.1086);
INSERT INTO fatSales VALUES('NCP06', 'OUT027', 'Low Fat', 2115.9124);
INSERT INTO fatSales VALUES('FDE33', 'OUT027', 'Regular', 1885.5456);
INSERT INTO fatSales VALUES('FDZ44', 'OUT049', 'Low Fat', 703.0848);
INSERT INTO fatSales VALUES('FDV46', 'OUT018', 'Low Fat', 2656.542);
INSERT INTO fatSales VALUES('NCO06', 'OUT035', 'Low Fat', 713.0718);
INSERT INTO fatSales VALUES('DRG03', 'OUT013', 'Low Fat', 1691.7978);
INSERT INTO fatSales VALUES('FDU37', 'OUT013', 'Regular', 2157.192);
INSERT INTO fatSales VALUES('FDI57', 'OUT013', 'Low Fat', 2561.9984);
INSERT INTO fatSales VALUES('FDM45', 'OUT013', 'Regular', 2059.9852);
INSERT INTO fatSales VALUES('FDC26', 'OUT035', 'Low Fat', 1334.2632);
INSERT INTO fatSales VALUES('FDU14', 'OUT027', 'Low Fat', 10236.675);
INSERT INTO fatSales VALUES('FDB26', 'OUT046', 'Regular', 692.432);
INSERT INTO fatSales VALUES('FDC29', 'OUT018', 'Regular', 1488.7288);
INSERT INTO fatSales VALUES('FDY58', 'OUT017', 'Low Fat', 6622.7126);
INSERT INTO fatSales VALUES('FDR59', 'OUT035', 'Regular', 3139.9128);
INSERT INTO fatSales VALUES('FDS03', 'OUT027', 'Low Fat', 1614.565);
INSERT INTO fatSales VALUES('FDR43', 'OUT013', 'Low Fat', 585.904);
INSERT INTO fatSales VALUES('FDZ25', 'OUT027', 'Regular', 5602.707);
INSERT INTO fatSales VALUES('NCN26', 'OUT045', 'Low Fat', 703.0848);
INSERT INTO fatSales VALUES('FDO38', 'OUT018', 'Low Fat', 1012.6818);
INSERT INTO fatSales VALUES('FDP28', 'OUT017', 'Regular', 3131.9232);
INSERT INTO fatSales VALUES('FDG31', 'OUT010', 'Low Fat', 258.3304);
INSERT INTO fatSales VALUES('FDI45', 'OUT013', 'Low Fat', 4027.4242);
INSERT INTO fatSales VALUES('NCS54', 'OUT010', 'Low Fat', 352.874);
INSERT INTO fatSales VALUES('FDE17', 'OUT045', 'Regular', 2418.1856);
INSERT INTO fatSales VALUES('NCG06', 'OUT046', 'Low Fat', 2061.3168);
INSERT INTO fatSales VALUES('FDQ57', 'OUT019', 'Low Fat', 146.476);
INSERT INTO fatSales VALUES('NCB31', 'OUT035', 'Low Fat', 4207.856);
INSERT INTO fatSales VALUES('NCP29', 'OUT018', 'Low Fat', 830.9184);
INSERT INTO fatSales VALUES('NCX29', 'OUT019', 'Low Fat', 145.8102);
INSERT INTO fatSales VALUES('FDU37', 'OUT018', 'Regular', 1198.44);
INSERT INTO fatSales VALUES('FDM02', 'OUT010', 'Regular', 87.2198);
INSERT INTO fatSales VALUES('FDN16', 'OUT046', 'Regular', 1960.781);
